date,series,tone
2025-10-16,Average Tone,-3.9285
2025-10-17,Average Tone,-6.7582
2025-10-18,Average Tone,-7.1713
2025-10-19,Average Tone,-6.1959
2025-10-20,Average Tone,-5.9229
2025-10-21,Average Tone,-0.7294
2025-10-22,Average Tone,-7.1589
2025-10-24,Average Tone,-3.8745
2025-10-26,Average Tone,-9.0301
2025-10-28,Average Tone,-3.6852
2025-10-29,Average Tone,-6.965
2025-10-30,Average Tone,-7.0151
2025-10-31,Average Tone,-3.7769
2025-11-01,Average Tone,-7.3611
2025-11-02,Average Tone,-5.4163
2025-11-03,Average Tone,-5.3167
2025-11-05,Average Tone,-2.9001
2025-11-06,Average Tone,-5.3466
2025-11-07,Average Tone,-3.4946
2025-11-08,Average Tone,-8.6687
2025-11-09,Average Tone,-4.5861
2025-11-10,Average Tone,-5.4871
2025-11-11,Average Tone,-4.8374
2025-11-12,Average Tone,-5.8166
2025-11-13,Average Tone,-8.6093
2025-11-16,Average Tone,-2.4274
2025-11-17,Average Tone,-3.8915
2025-11-18,Average Tone,-9.7816
2025-11-19,Average Tone,-9.2478
2025-11-20,Average Tone,-6.4335
2025-11-21,Average Tone,-5.4633
2025-11-22,Average Tone,-5.9561
2025-11-23,Average Tone,-6.5647
2025-11-24,Average Tone,-7.1269
2025-11-25,Average Tone,-5.9256
2025-11-26,Average Tone,-7.7806
2025-11-27,Average Tone,-8.238
2025-11-28,Average Tone,-9.1877
2025-11-29,Average Tone,-3.6858
2025-11-30,Average Tone,-7.8558
2025-12-01,Average Tone,-7.1345
2025-12-02,Average Tone,-7.8468
2025-12-03,Average Tone,-8.9869
2025-12-04,Average Tone,-6.6202
2025-12-05,Average Tone,-6.6437
2025-12-07,Average Tone,-9.3103
2025-12-08,Average Tone,-5.8621
2025-12-09,Average Tone,-3.23
2025-12-11,Average Tone,-5.9829
2025-12-12,Average Tone,-7.9785
2025-12-14,Average Tone,-5.1836
2025-12-15,Average Tone,-7.8863
2025-12-16,Average Tone,-5.1294
2025-12-17,Average Tone,-6.2611
2025-12-18,Average Tone,-5.7919
2025-12-24,Average Tone,-0.6168
2025-12-25,Average Tone,-6.1635
2025-12-28,Average Tone,-0.6488
2025-12-29,Average Tone,-3.3333
2025-12-30,Average Tone,-6.2359
2025-12-31,Average Tone,-5.1642
2026-01-04,Average Tone,-6.4027
2026-01-05,Average Tone,-4.2201
2026-01-06,Average Tone,-7.0225
2026-01-07,Average Tone,-2.5328
2026-01-08,Average Tone,-1.9211
2026-01-11,Average Tone,-7.8984
2026-01-12,Average Tone,-7.7398
2026-01-13,Average Tone,-5.7439
2026-01-14,Average Tone,-8.1081
2026-01-16,Average Tone,-3.5739
2026-01-22,Average Tone,-5.7178
2026-01-24,Average Tone,-7.0985
2026-01-25,Average Tone,-7.8216
2026-01-26,Average Tone,-7.3441
2026-01-30,Average Tone,-6.4103
2026-01-31,Average Tone,-6.5163
2026-02-02,Average Tone,-4.1327
2026-02-06,Average Tone,-7.9498
2026-02-09,Average Tone,-6.8878
2026-02-15,Average Tone,-6.6082
2026-02-16,Average Tone,-7.405
2026-02-20,Average Tone,-8.188
2026-02-21,Average Tone,-7.8318
2026-02-22,Average Tone,-6.7388
2026-02-23,Average Tone,-7.3333
2026-02-24,Average Tone,-5.0185
2026-02-25,Average Tone,-4.8323
2026-03-01,Average Tone,-5.1765
2026-03-02,Average Tone,-5.3466
2026-03-03,Average Tone,-5.2524
2026-03-04,Average Tone,-5.2268
2026-03-05,Average Tone,-4.57
2026-03-06,Average Tone,-4.6125
2026-03-07,Average Tone,-5.0324
2026-03-08,Average Tone,-5.3898
2026-03-09,Average Tone,-4.7514
2026-03-10,Average Tone,-3.9597
2026-03-11,Average Tone,-4.561
2026-03-12,Average Tone,-5.3577
2026-03-13,Average Tone,-4.438
2026-03-14,Average Tone,-4.9398
2026-03-15,Average Tone,-4.4732
2026-03-16,Average Tone,-3.9134
2026-03-17,Average Tone,-5.6857
2026-03-18,Average Tone,-5.2396
2026-03-19,Average Tone,-4.7076
2026-03-20,Average Tone,-4.7942
2026-03-21,Average Tone,-4.7924
2026-03-22,Average Tone,-5.4758
2026-03-23,Average Tone,-4.7451
2026-03-24,Average Tone,-4.2022
2026-03-25,Average Tone,-3.4798
2026-03-26,Average Tone,-4.0555
2026-03-27,Average Tone,-5.995
2026-03-28,Average Tone,-5.0785
2026-03-29,Average Tone,-4.9293
2026-03-30,Average Tone,-4.7091
2026-03-31,Average Tone,-4.5287
2026-04-01,Average Tone,-4.9721
2026-04-02,Average Tone,-3.9107
2026-04-03,Average Tone,-5.0323
2026-04-04,Average Tone,-4.5835
2026-04-05,Average Tone,-5.3008
2026-04-06,Average Tone,-5.0648
2026-04-07,Average Tone,-4.8648
2026-04-08,Average Tone,-4.515
2026-04-09,Average Tone,-4.2763
2026-04-10,Average Tone,-3.9311
2026-04-11,Average Tone,-3.6133
2026-04-12,Average Tone,-4.1274
2026-04-13,Average Tone,-3.8843
