date,series,value,type
2025-10-16,Average Tone,-3.9285,tone
2025-10-17,Average Tone,-6.7582,tone
2025-10-18,Average Tone,-7.1713,tone
2025-10-19,Average Tone,-6.1959,tone
2025-10-20,Average Tone,-5.9229,tone
2025-10-21,Average Tone,-0.7294,tone
2025-10-22,Average Tone,-7.1589,tone
2025-10-24,Average Tone,-3.8745,tone
2025-10-26,Average Tone,-9.0301,tone
2025-10-28,Average Tone,-3.6852,tone
2025-10-29,Average Tone,-6.965,tone
2025-10-30,Average Tone,-7.0151,tone
2025-10-31,Average Tone,-3.7769,tone
2025-11-01,Average Tone,-7.3611,tone
2025-11-02,Average Tone,-5.4163,tone
2025-11-03,Average Tone,-5.3167,tone
2025-11-05,Average Tone,-2.9001,tone
2025-11-06,Average Tone,-5.3466,tone
2025-11-07,Average Tone,-3.4946,tone
2025-11-08,Average Tone,-8.6687,tone
2025-11-09,Average Tone,-4.5861,tone
2025-11-10,Average Tone,-5.4871,tone
2025-11-11,Average Tone,-4.8374,tone
2025-11-12,Average Tone,-5.8166,tone
2025-11-13,Average Tone,-8.6093,tone
2025-11-16,Average Tone,-2.4274,tone
2025-11-17,Average Tone,-3.8915,tone
2025-11-18,Average Tone,-9.7816,tone
2025-11-19,Average Tone,-9.2478,tone
2025-11-20,Average Tone,-6.4335,tone
2025-11-21,Average Tone,-5.4633,tone
2025-11-22,Average Tone,-5.9561,tone
2025-11-23,Average Tone,-6.5647,tone
2025-11-24,Average Tone,-7.1269,tone
2025-11-25,Average Tone,-5.9256,tone
2025-11-26,Average Tone,-7.7806,tone
2025-11-27,Average Tone,-8.238,tone
2025-11-28,Average Tone,-9.1877,tone
2025-11-29,Average Tone,-3.6858,tone
2025-11-30,Average Tone,-7.8558,tone
2025-12-01,Average Tone,-7.1345,tone
2025-12-02,Average Tone,-7.8468,tone
2025-12-03,Average Tone,-8.9869,tone
2025-12-04,Average Tone,-6.6202,tone
2025-12-05,Average Tone,-6.6437,tone
2025-12-07,Average Tone,-9.3103,tone
2025-12-08,Average Tone,-5.8621,tone
2025-12-09,Average Tone,-3.23,tone
2025-12-11,Average Tone,-5.9829,tone
2025-12-12,Average Tone,-7.9785,tone
2025-12-14,Average Tone,-5.1836,tone
2025-12-15,Average Tone,-7.8863,tone
2025-12-16,Average Tone,-5.1294,tone
2025-12-17,Average Tone,-6.2611,tone
2025-12-18,Average Tone,-5.7919,tone
2025-12-24,Average Tone,-0.6168,tone
2025-12-25,Average Tone,-6.1635,tone
2025-12-28,Average Tone,-0.6488,tone
2025-12-29,Average Tone,-3.3333,tone
2025-12-30,Average Tone,-6.2359,tone
2025-12-31,Average Tone,-5.1642,tone
2026-01-04,Average Tone,-6.4027,tone
2026-01-05,Average Tone,-4.2201,tone
2026-01-06,Average Tone,-7.0225,tone
2026-01-07,Average Tone,-2.5328,tone
2026-01-08,Average Tone,-1.9211,tone
2026-01-11,Average Tone,-7.8984,tone
2026-01-12,Average Tone,-7.7398,tone
2026-01-13,Average Tone,-5.7439,tone
2026-01-14,Average Tone,-8.1081,tone
2026-01-16,Average Tone,-3.5739,tone
2026-01-22,Average Tone,-5.7178,tone
2026-01-24,Average Tone,-7.0985,tone
2026-01-25,Average Tone,-7.8216,tone
2026-01-26,Average Tone,-7.3441,tone
2026-01-30,Average Tone,-6.4103,tone
2026-01-31,Average Tone,-6.5163,tone
2026-02-02,Average Tone,-4.1327,tone
2026-02-06,Average Tone,-7.9498,tone
2026-02-09,Average Tone,-6.8878,tone
2026-02-15,Average Tone,-6.6082,tone
2026-02-16,Average Tone,-7.405,tone
2026-02-20,Average Tone,-8.188,tone
2026-02-21,Average Tone,-7.8318,tone
2026-02-22,Average Tone,-6.7388,tone
2026-02-23,Average Tone,-7.3333,tone
2026-02-24,Average Tone,-5.0185,tone
2026-02-25,Average Tone,-4.8323,tone
2026-03-01,Average Tone,-5.1765,tone
2026-03-02,Average Tone,-5.3466,tone
2026-03-03,Average Tone,-5.2524,tone
2026-03-04,Average Tone,-5.2268,tone
2026-03-05,Average Tone,-4.57,tone
2026-03-06,Average Tone,-4.6125,tone
2026-03-07,Average Tone,-5.0324,tone
2026-03-08,Average Tone,-5.3898,tone
2026-03-09,Average Tone,-4.7514,tone
2026-03-10,Average Tone,-3.9597,tone
2026-03-11,Average Tone,-4.561,tone
2026-03-12,Average Tone,-5.3577,tone
2026-03-13,Average Tone,-4.438,tone
2026-03-14,Average Tone,-4.9398,tone
2026-03-15,Average Tone,-4.4732,tone
2026-03-16,Average Tone,-3.9134,tone
2026-03-17,Average Tone,-5.6857,tone
2026-03-18,Average Tone,-5.2396,tone
2026-03-19,Average Tone,-4.7076,tone
2026-03-20,Average Tone,-4.7942,tone
2026-03-21,Average Tone,-4.7924,tone
2026-03-22,Average Tone,-5.4758,tone
2026-03-23,Average Tone,-4.7451,tone
2026-03-24,Average Tone,-4.2022,tone
2026-03-25,Average Tone,-3.4798,tone
2026-03-26,Average Tone,-4.0555,tone
2026-03-27,Average Tone,-5.995,tone
2026-03-28,Average Tone,-5.0785,tone
2026-03-29,Average Tone,-4.9293,tone
2026-03-30,Average Tone,-4.7091,tone
2026-03-31,Average Tone,-4.5287,tone
2026-04-01,Average Tone,-4.9721,tone
2026-04-02,Average Tone,-3.9107,tone
2026-04-03,Average Tone,-5.0323,tone
2026-04-04,Average Tone,-4.5835,tone
2026-04-05,Average Tone,-5.3008,tone
2026-04-06,Average Tone,-5.0648,tone
2026-04-07,Average Tone,-4.8648,tone
2026-04-08,Average Tone,-4.515,tone
2026-04-09,Average Tone,-4.2763,tone
2026-04-10,Average Tone,-3.9311,tone
2026-04-11,Average Tone,-3.6133,tone
2026-04-12,Average Tone,-4.1274,tone
2026-04-13,Average Tone,-3.8843,tone
