event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BHR12485,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,Protesters,,,,Protesters only,,48,Middle East,Bahrain,Capital,,,Sitrah,26.1547,50.6206,1,14 February Revolution Youth Coalition,Other,"On 1 January 2024, demonstrators, including February 14 Youth Coalition, held a march in Sitrah (Capital) to show their readiness for a 'new revolutionary year'.",0,crowd size=no report,1704775455
BHR12486,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,Protesters,,,,Protesters only,,48,Middle East,Bahrain,Northern,,,Al Markh,26.2103,50.4733,1,14 February Revolution Youth Coalition,Other,"On 3 January 2024, demonstrators, including February 14 Youth Coalition, held an anti-regime march in Al Markh (Northern) to commemorate the death of Qasim Sulaymani and Abu Mahdi al-Muhandis who were killed by a US strike on 3 January 2020 in Bagdad.",0,crowd size=no report,1704775455
BHR12488,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,Protesters,,,,Protesters only,,48,Middle East,Bahrain,Northern,,,Al Diraz,26.2181,50.4706,1,14 February Revolution Youth Coalition; ADHRB; Al Wafa; Bahrain Alyoum; LuaLua TV,Other-National,"On 5 January 2024, demonstrators, including February 14 Youth Coalition, held a large march in Al Diraz (Northern) in solidarity with the Palestinian people and to denounce the US coalition against Houthi operations in the Red Sea in the context of the latest round of violence in Israel-Palestine and to denounce the normalization of diplomatic ties with Israel.",0,crowd size=large,1705371883
BHR12489,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,Protesters,,,,Protesters only,,48,Middle East,Bahrain,Northern,,,Barbar,26.2294,50.4806,1,14 February Revolution Youth Coalition; ADHRB; Al Wafa; Bahrain Alyoum,Other-National,"On 5 January 2024, demonstrators, including February 14 Youth Coalition, held a protest in Barbar (Northern) in solidarity with the Palestinian people in the context of the latest round of violence in Israel-Palestine and calling for the end of the normalization of diplomatic ties with Israel.",0,crowd size=no report,1705371883
BHR12494,2024-01-06,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,Rioters,,,,Rioters only,,48,Middle East,Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,14 February Revolution Youth Coalition,Other,"On 6 January 2024, demonstrators, including February 14 Youth Coalition, cut the road with burning tires in Nuwaidrat (Southern) in solidarity with political prisoners.",0,crowd size=no report,1705379978
BHR12495,2024-01-07,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,Rioters,,,,Rioters only,,48,Middle East,Bahrain,Northern,,,Karzakkan,26.1156,50.4819,1,14 February Revolution Youth Coalition,Other,"On 7 January 2024, demonstrators, including February 14 Youth Coalition, cut the road with burning tires in Karzakkan (Northern) in solidarity with political prisoners and to denounce the normalization of diplomatic ties with Israel.",0,crowd size=no report,1705379978
BHR12496,2024-01-09,2024,1,Political violence,Violence against civilians,Attack,Police Forces of Bahrain (1999-) Prison Guards,,State forces,Civilians (Bahrain),Prisoners (Bahrain),Civilians,State forces-Civilians,Civilian targeting,48,Middle East,Bahrain,Southern,,,Jaw Prison,25.9916,50.6165,1,14 February Revolution Youth Coalition,Other,"On 9 January 2024, Bahraini prison security forces severely beat up 2 prisoners in the isolation building in Jaw Prison (Southern). The reason behind the incident was not reported.",0,,1754409470
BHR12499,2024-01-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,Protesters,,,,Protesters only,,48,Middle East,Bahrain,Northern,,,Aali,26.1619,50.5164,1,14 February Revolution Youth Coalition; Al Wafa; Bahrain Alyoum; Bahrain Mirror,Other-National,"On 12 January 2024, demonstrators, including February 14 Youth Coalition, held a large protest in Aali (Northern) in solidarity with the Palestinian people in the context of the latest round of violence in Israel-Palestine and to denounce the US and UK 'aggression against the Yemen' and the Bahraini participation in the anti-Houthi coalition.",0,crowd size=large,1705379978
BHR12501,2024-01-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,Protesters,,,,Protesters only,,48,Middle East,Bahrain,Northern,,,Salmabad,26.1831,50.5247,1,14 February Revolution Youth Coalition; Al Wafa; Bahrain Alyoum; Bahrain Mirror,Other-National,"On 12 January 2024, demonstrators, including February 14 Youth Coalition, held a large protest in Salmabad (Northern) in solidarity with the Palestinian people and the Hamas 'Al Aqsa flood' operation in the context of the latest round of violence in Israel-Palestine. They also denounced the normalization of diplomatic ties with Israel.",0,crowd size=large,1705379978
BHR12497,2024-01-10,2024,1,Strategic developments,Strategic developments,Other,Protesters (Bahrain),Prisoners (Bahrain),Protesters,,,,Protesters only,,48,Middle East,Bahrain,Southern,,,Jaw Prison,25.9916,50.6165,1,14 February Revolution Youth Coalition; ADHRB; Bahrain Mirror,Other-National,"Strikes: On 10 January 2024, more than 400 political detainees started a hunger strike in buildings 7, 8, 9, and 10 in Jaw Prison (Southern) to denounce isolation cases and in solidarity with political detainee Al Mushayma and his right for health treatment. The detainees suspended their hunger strike on the same day after promises from the prison's administration to execute their demands.",0,,1772498036
BHR12500,2024-01-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,Protesters,,,,Protesters only,,48,Middle East,Bahrain,Northern,,,Al Diraz,26.2181,50.4706,1,14 February Revolution Youth Coalition; ADHRB; Al Wafa; Bahrain Alyoum; Bahrain Mirror,Other-National,"On 12 January 2024, demonstrators, including February 14 Youth Coalition, held a large protest in Al Diraz (Northern) in solidarity with the Palestinian people in the context of the latest round of violence in Israel-Palestine and to denounce the US and UK 'aggression against Yemen' and the Bahraini participation in the anti-Houthi coalition.",0,crowd size=large,1705966190
BHR12506,2024-01-15,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,Rioters,,,,Rioters only,,48,Middle East,Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,14 February Revolution Youth Coalition,Other,"On 15 January 2024, anti-regime demonstrators, including the February 14 Youth Coalition, cut the road with burning tires in Nuwaidrat (Southern) to commemorate the seventh anniversary of the executions of anti-government activists Ali Al Singace, Abbas Al Samea, and Sami Mushaima.",0,crowd size=no report,1705978237
