event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
EGY12072,2024-01-31,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Qalyubia,Al Obor,,El Obour City,30.2314,31.4764,1,New Arab,Regional,"On 31 January 2024, hundreds of employees of the T&C factory protested outside its headquarters in El Obour City (Al Obor, Qalyubia) demanding salary raises and confirmation of temporary workers.",0,crowd size=hundreds,1764637279
EGY12073,2024-02-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Qalyubia,Al Obor,,El Obour City,30.2314,31.4764,1,New Arab,Regional,"On 1 February 2024, for the second consecutive day, hundreds of employees of the T&C factory protested outside its headquarters in El Obour City (Al Obor, Qalyubia) demanding salary raises and confirmation of temporary workers.",0,crowd size=hundreds,1764637279
EGY12077,2024-02-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Suez,Al Arbaeen,,Suez,29.9737,32.5263,1,Madamasr,National,"On 3 February 2024, workers at the Five Star Mills Company began a sit-in in Suez (Al Arbaeen, Suez) demanding an annual wage increase.",0,crowd size=no report,1708988309
EGY12078,2024-02-22,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Egypt),Labor Group (Egypt),Protesters,Police Forces of Egypt (2014-),,State forces,State forces-Protesters,,818,Northern Africa,Egypt,Gharbia,Greater Mahala 1,,Al Mahallah al Kubra,30.9761,31.1669,1,Madamasr; New Arab,National-Regional,"On 22 February 2024, workers announced a strike and gathered at the factory in Al Mahallah al Kubra (Greater Mahala 1, Gharbia). Egyptian police forces closed factory gates to prevent protesting workers from entering the Misr Spinning and Weaving Company factory yard. Workers demanded salary raises in line with a presidential directive raising the minimum wage.",0,crowd size=no report,1764637279
EGY12079,2024-02-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Gharbia,Greater Mahala 1,,Al Mahallah al Kubra,30.9761,31.1669,1,Madamasr; New Arab,National-Regional,"On 24 February 2024, three days after workers declared a strike, 7000 workers at the Ghazl al-Mahalla factory complex held a protest in the central square of the factory in Al Mahallah al Kubra (Greater Mahala 1, Gharbia), demanding a raise to their daily meal allowance and higher wages.",0,crowd size=7000,1764637279
EGY12080,2024-02-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Cairo,New Cairo 2,,Cairo - Madinaty,30.0914,31.6434,1,Madamasr,National,"On 28 February 2024, hundreds of employees of the Alexandria Construction company held a protest outside the company's office in Cairo - Madinaty (New Cairo 2, Cairo), demanding better benefits and payment of late dues.",0,crowd size=hundreds,1709590324
EGY12070,2024-01-08,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,South Sinai,Sharm El Shiekh,,Sharm el-Sheikh,27.8636,34.2881,1,Madamasr,National,"On 8 January 2024, over 200 employees of Care Services held a sit-in in Sharm el-Sheikh (Sharm El Shiekh, South Sinai) to call for salary raises, housing improvements, and greater benefits. Care Services provides maintenance, gardening, cooking, and cleaning services to the Multinational Force and Observers in the Sinai Peninsula.",0,crowd size=over 200,1710192127
EGY12082,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,South Sinai,Sharm El Shiekh,,Sharm el-Sheikh,27.8636,34.2881,1,Al Manassa,National,"On 3 January 2024, employees of Care Services held an open sit-in inside their factory in Sharm el-Sheikh (Sharm El Shiekh, South Sinai) to call for salary raises, housing improvements, and greater benefits. They ended their sit-in on 4 January. Care Services provides maintenance, gardening, cooking, and cleaning services to the Multinational Force and Observers in the Sinai Peninsula.",0,crowd size=no report,1710202780
EGY12084,2024-01-31,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Qalyubia,Al Obor,,El Obour City,30.2314,31.4764,1,Al Araby,International,"On 31 January 2024, hundreds of employees at TNC company protested inside their factory in El Obour City (Al Obor, Qalyubia) calling for an increase of their salaries.",0,crowd size=hundreds,1710202780
EGY12085,2024-02-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Labor Group (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Qalyubia,Al Obor,,El Obour City,30.2314,31.4764,1,Al Araby,International,"On 1 February 2024, for a second consecutive day, hundreds of employees at TNC company protested inside their factory in El Obour City (Al Obor, Qalyubia) calling for an increase in their salaries.",0,crowd size=hundreds,1710202780
