event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IRN25767,2024-01-05,2024,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Iran (1989-),,State forces,,,,State forces only,,364,Middle East,Iran,Sistan and Baluchestan,Zahedan,Central,Zahedan,29.4963,60.8629,1,Haalvash,Other,"Movement of forces: On 5 January 2024, extensive deployment of military forces was reported on the streets around the Jameh Mosque of Makki in Zahedan city (Sistan and Baluchestan) to prevent potential protests and gatherings.",0,,1704756261
IRN25769,2024-01-02,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Police Forces of Iran (1989-),Government of Iran (1989-),State forces,Civilians (Iran),Bahai Group (Iran),Civilians,State forces-Civilians,,364,Middle East,Iran,Mazandaran,Sari,Kolijan Rostaq,Ahmadabad,36.4425,53.2924,1,BBC News; Iran Wire; Radio Zamaneh,Regional-International,"Land seizure: On 2 January 2024, Natural Resources and Watershed Management Organization employees and police forces seized agricultural lands in Ahmadabad village (Mazandaran) belonging to the Bahai religious community.",0,,1704756261
IRN25770,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Farmers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Isfahan,Isfahan,Central,Isfahan,32.6525,51.6746,1,Eteraze Bazar,New media,"On 1 January 2024, local farmers rallied outside the Regional Water Department in Isfahan city (Isfahan) over the lack of agricultural water.",0,crowd size=no report,1704756261
IRN25771,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Farmers (Iran); Unidentified Tribal Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ilam,Ilam,Central,Ilam,33.6374,46.4227,1,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 1 January 2024, local nomads and herders of the Boli district gathered in front of the provincial governor's office in Ilam city (Ilam) to demand the access to the Banmil pastures.",0,crowd size=no report,1704756261
IRN25772,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran); Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ilam,Ilam,Central,Ilam,33.6374,46.4227,1,Eteraze Bazar; Free Union of Iranian Workers; Human Rights Activists in Iran (HRA); Iran International,Local partner-Other,"On 3 January 2024, nurses and staff at the Ilam University of Medical Sciences held a rally in Ilam city (Ilam) over the low salaries and unfair tariffs.",0,crowd size=no report,1704756261
IRN25788,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.319,48.6842,1,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 1 January 2024, retirees of the telecommunication company of Iran staged a protest in front of the provincial telecommunication company's central office in Ahvaz city (Khuzestan) over their ongoing dispute with the recent change in insurance rates and demanded wage arrears payment.",0,crowd size=no report,1704756262
IRN25789,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Markazi,Arak,Central,Arak,34.0917,49.6892,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),Local partner-Other,"On 1 January 2024, retirees of the telecommunication company of Iran staged a protest in front of the provincial telecommunication company's central office in Arak city (Markazi) over their ongoing dispute with the recent change in insurance rates and demanded wage arrears payment.",0,crowd size=no report,1704756262
IRN25790,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Markazi,Arak,Central,Arak,34.0917,49.6892,1,Eteraze Bazar,New media,"On 1 January 2024, employees of Avangan company rallied in Arak City (Markazi) over the non-payment of their shares for 17 years.",0,crowd size=no report,1704756262
IRN25791,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ardabil,Ardabil,Central,Ardabil,38.2498,48.2933,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),Local partner-Other,"On 1 January 2024, retirees of the telecommunication company of Iran protested in front of the provincial telecommunication company's central office in Ardabil city (Ardabil) over their ongoing dispute with the company over the recent change in insurance rates and to demand payment of wage arrears.",0,crowd size=no report,1704756262
IRN25792,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Hormozgan,Bandar-Abbas,Central,Bandar Abbas,27.1865,56.2808,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),Local partner-Other,"On 1 January 2024, retirees of the telecommunication company of Iran held a protest in front of the provincial telecommunication company's central office in Bandar Abbas city (Hormozgan) over their ongoing dispute with the company over the recent change in insurance rates and to demand payment of wage arrears.",0,crowd size=no report,1704756262
