event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IRQ50538,2024-01-01,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,PKK: Kurdistan Workers Party,,Rebel group,Rebel group-External/Other forces,,368,Middle East,Iraq,Duhok,Al Amadiya,Sarsank,Gize,36.9963,43.5114,2,People's Defense Forces,Other,"On 1 January 2024, Turkish army warplanes carried out airstrikes against PKK forces in Gunde Guze (Gize) area in Al Amadiya district, Duhok. Casualties unknown.",0,,1753954445
IRQ50560,2024-01-01,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Chamchamal,Agjalare,Aghceler,35.748,44.8983,2,Basnews,Subnational,"On 1 January 2024, suspected Turkish drone strikes targeted Chenartu village in Aghceler district, Al Sulaymaniyah. Casualties unknown.",0,,1753954445
IRQ50561,2024-01-01,2024,2,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Chamchamal,Markaz Chamchamal,Chamchamal,35.5336,44.8343,2,ANF News,International,"Around 1 January 2024 (as reported), Turkish army warplanes carried out airstrikes on Axceler village area in Chamchamal district of Al Sulaymaniyah. Casualties unknown.",0,,1753954445
IRQ50593,2024-01-03,2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Iraq),,Political militia,Unidentified Armed Group (Iraq),,Political militia,Political militia-Political militia,,368,Middle East,Iraq,Baghdad,Al Thawra,Markaz Al Thawra,Baghdad - Sadr City,33.3912,44.4575,1,National Iraqi News Agency,National,"On 3 January 2024, unknown militants clashed in the Shishaniya area of Baghdad - Sadr City. Local police intervened, arrested 4, and seized 8 firearms. There were no casualties.",0,,1764045636
IRQ50596,2024-01-01,2024,2,Political violence,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,Identity militia,Unidentified Tribal Militia (Iraq),,Identity militia,Identity militia-Identity militia,,368,Middle East,Iraq,Thi Qar,Al Chibayish,Markaz Al Chibayish,Chibayish,30.956,46.9766,2,Al Mirbad,National,"Around 1 January 2024 (as reported), unknown tribal militants clashed in Chibayish district, Thi Qar. Local police conducted a raid after the clash ended, detained 7 suspected militants, and seized weapons. Casualties unknown.",0,,1704766913
IRQ50597,2024-01-03,2024,1,Political violence,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,Identity militia,Unidentified Tribal Militia (Iraq),,Identity militia,Identity militia-Identity militia,,368,Middle East,Iraq,Al Basrah,Al Basrah,Al Hartha,Al-Hartha,30.6934,47.7414,2,Baghdad Today,National,"On 3 January 2024, unknown tribal militants clashed in Al-Hartha district, Al Basrah. The clash resulted in 1 fatality and 4 injured. Local police isolated the area but did not directly intervene.",1,,1704766913
IRQ50603,2024-01-03,2024,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Political militia,Civilians (Iraq),,Civilians,Political militia-Civilians,Civilian targeting,368,Middle East,Iraq,Al Basrah,Al Basrah,Al Hartha,Al-Hartha,30.6934,47.7414,2,National Iraqi News Agency,National,"On 3 January 2024, an unknown gunman opened fire at a civilian residence in Al-Hartha district, Basrah. The attack killed a woman and injured an unknown number of her family members.",1,,1754410220
IRQ50605,2024-01-03,2024,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Political militia,Civilians (Iraq),Police Forces of Iraq (2022-),Civilians,Political militia-Civilians,Civilian targeting,368,Middle East,Iraq,Baghdad,Al Madain,Al Wihda,Bismayah,33.1945,44.607,1,Al Sumaria TV,National,"On 3 January 2024, a Brigadier General from the Federal police officer was shot in the head and killed by an unknown actor in his residence in the Bismayah complex south of Baghdad city. Local police detained the victim's family.",1,,1754410220
IRQ50614,2024-01-02,2024,1,Strategic developments,Strategic developments,Change to group/activity,Police Forces of Iraq (2022-),,State forces,,,,State forces only,,368,Middle East,Iraq,Wassit,Al Kut,Markaz Al Kut,Kut,32.5056,45.8247,3,Al Mirbad,National,"Security measures: On 2 January 2024, Wassit police extended their security measures by one more month province wide. The security measures were initially enacted during the elections season. The measures includes setting up checkpoints. Coded as Kut city.",0,,1704766913
IRQ50616,2024-01-04,2024,1,Strategic developments,Strategic developments,Change to group/activity,Police Forces of Iraq (2022-) Rapid Reaction Force,,State forces,,,,State forces only,,368,Middle East,Iraq,Al Muthanna,Al Samawa,Al Sowair,As Samawah,31.3059,45.2799,3,Al Mirbad,National,"Security measures: On 4 January 2024, Iraqi rapid reaction force assumed security responsibilities in Muthanna province. The move is a part of a Ministry of Interior measure to reassign security responsibilities among the Ministry's forces. Coded as As Samawah city.",0,,1704766913
IRQ50623,2024-01-03,2024,1,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Iraq (2022-),,State forces,Unidentified Armed Group (Iraq),,Political militia,State forces-Political militia,,368,Middle East,Iraq,Babil,Al Mahaweel,Markaz Al Mahawil,Mahawil,32.6614,44.4085,2,Al Sumaria TV,National,"Defusal: On 3 January 2024, Iraqi police forces discovered and destroyed a drone belonging to unknown militants on the highway in Mahawil district, Babil. It is unclear if the drone was armed and how it ended up on the highway.",0,,1759781401
IRQ50638,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iraq),Labor Group (Iraq),Protesters,,,,Protesters only,,368,Middle East,Iraq,Al Muthanna,Al Samawa,Al Sowair,As Samawah,31.3059,45.2799,1,Al Mirbad,National,"On 1 January 2024, public sector contract workers protested in As Samawah city. The protesters demanded the completion of a process to put workers on contracts and permanent positions. They also demanded back-pay for December.",0,crowd size=no report,1704766913
IRQ50639,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iraq),Labor Group (Iraq),Protesters,,,,Protesters only,,368,Middle East,Iraq,Al Muthanna,Al Samawa,Al Sowair,As Samawah,31.3059,45.2799,1,Al Mirbad,National,"On 2 January 2024, recruitment workers in the Health Department protested in front of their department building in As Samawah city. The protesters demanded a wage increase in line with Resolution 315. The protesters complained their wages are too low and the work dangerous.",0,crowd size=no report,1704766913
IRQ50640,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iraq),Labor Group (Iraq),Protesters,,,,Protesters only,,368,Middle East,Iraq,Al Muthanna,Al Samawa,Al Sowair,As Samawah,31.3059,45.2799,1,Al Mirbad,National,"On 2 January 2024, researchers working for the Social Welfare protested in front of their department building in As Samawah city. The protesters demanded the transfer of their contracts to the Resolution 315 contract system. The protesters demanded to be put on permanent contracts, stating they have fulfilled the requirements. They stated their overall number is 57 researchers with Bachelor and Diploma degrees.",0,crowd size=no report,1704766913
IRQ50642,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iraq),Labor Group (Iraq),Protesters,,,,Protesters only,,368,Middle East,Iraq,Wassit,Al Kut,Markaz Al Kut,Kut,32.5056,45.8247,1,Al Mirbad,National,"On 2 January 2024, dozens of healthcare sector contractors protested in Kut city. The protesters demanded to be put on permanent contracts. The protesters claimed their overall movement is over 1,400 contractors throughout Wassit province. They also threatened to go on a partial strike if their demands are not met.",0,crowd size=dozens,1704766913
