event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR38427,2024-01-01,2024,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Israel (2022-),,State forces,Hamas Movement,,Political militia,State forces-Political militia,,376,Middle East,Israel,HaMerkaz,Ramla,Ramle,Ramla,31.9292,34.8656,2,Arutz Sheva; Times of Israel; Ynet,National,"Interception: On 1 January 2024, Hamas militants fired a barrage of about 27 rockets toward southern and central Israel, including Ramla (HaMerkaz) and surrounding areas. The iron dome intercepted 18 rockets, some of them likely over the area of Ramla. The other nine rockets fell in open areas.",0,,1704757981
ISR38778,2024-01-12,2024,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Israel (2022-),,State forces,Hamas Movement,,Political militia,State forces-Political militia,,376,Middle East,Israel,HaDarom,Ashqelon,Ashqelon,Kefar Azza,31.4841,34.5331,2,Ynet,National,"Interception: On 12 January 2024, Hamas militants in Gaza fired rockets toward southern Israel, causing sirens to sound in Kefar Azza (Ashqelon, HaDarom) and surrounding areas. No direct hits to populated areas were reported, as the rockets were likely intercepted by the iron dome over the area of Kefar Azza or fell in open areas.",0,,1762291738
ISR38937,2024-01-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Women (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Northern Negev Mountain,Mitzpe Ramon,30.6185,34.8063,1,13 News,National,"On 24 January 2024, activists from women's rights groups protested in Mitzpe Ramon (Beer Sheva, HaDarom), calling on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Women's rights groups held protests around the country as part of a nationwide day of protests calling for the release of hostages.",0,crowd size=no report,1706579764
ISR38939,2024-01-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Women (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,13 News,National,"On 24 January 2024, activists from women's rights groups protested in Beersheba (Beer Sheva, HaDarom), calling on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Women's rights groups held protests around the country as part of a nationwide day of protests calling for the release of hostages.",0,crowd size=no report,1763426427
ISR38948,2024-01-27,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Haaretz; Jerusalem Post,National,"On 27 January 2024, dozens protested in Beersheba (Beer Sheva, HaDarom), calling for Prime Minister Netanyahu's dismissal and early elections due to the government's handling of the Israel-Hamas War.",0,crowd size=dozens,1763426427
ISR39036,2024-02-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Haredi Jewish Group (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Ashqelon,Lakhish,Qiryat Gat,31.61,34.7642,2,Charedim 10; Kikar HaShabbat; Ma'ariv; Ynet,National,"On 6 February 2024, dozens of ultra-orthodox Haredi Jews blocked traffic, presumably by standing or walking on the roads, and protested at a traffic junction near Qiryat Gat (Ashqelon, HaDarom) against the police's intention to perform an autopsy on the body of a boy who was recently found dead in his home. Haredi Jews view autopsies as against Jewish law. Police forces were at the scene to redirect traffic.",0,crowd size=dozens,1759789919
ISR39076,2024-02-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Haaretz,National,"On 3 February 2024, about 400 protested in Beersheba (Beer Sheva, HaDarom), calling for early elections and Prime Minister Netanyahu's dismissal due to the government's handling of the Israel-Hamas War.",0,crowd size=about 400,1763426427
ISR39152,2024-02-12,2024,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Israel (2022-),,State forces,Hamas Movement,,Political militia,State forces-Political militia,,376,Middle East,Israel,HaDarom,Beer Sheva,Besor,En Besor,31.309,34.49,2,Calcalist; Haaretz,National,"Interception: On 12 February 2024, Hamas militants in Gaza fired rockets toward southern Israel, causing sirens to sound in En Besor (Beer Sheva, HaDarom). No direct hits to populated areas were reported, as the rockets were presumably intercepted by the iron dome over the area of En Besor or fell in open areas.",0,,1762291738
ISR39162,2024-02-10,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Arava,Eilat,29.5581,34.9482,1,Haaretz,National,"On 10 February 2024, a protest took place in Eilat (Beer Sheva, HaDarom), calling for Prime Minister Netanyahu's dismissal and new elections due to the government's handling of the Israel-Hamas War.",0,crowd size=no report,1708383844
ISR39170,2024-02-10,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Haaretz; Walla!News,National,"On 10 February 2024, a protest took place in Beersheba (Beer Sheva, HaDarom), calling for Prime Minister Netanyahu's dismissal and new elections due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Relatives of hostages took part in the protest.",0,crowd size=no report,1763426427
ISR39178,2024-02-10,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Northern Negev Mountain,Mitzpe Ramon,30.6185,34.8063,1,Walla!News,National,"On 10 February 2024, a protest took place in Mitzpe Ramon (Beer Sheva, HaDarom), calling for Prime Minister Netanyahu's dismissal and new elections due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas.",0,crowd size=no report,1708383844
ISR39221,2024-02-17,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Bedouin Ethnic Group (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Haaretz; Ma'ariv; Times of Israel,National,"On 17 February 2024, about 300 protested in Beersheba (Beer Sheva, HaDarom), calling for Prime Minister Netanyahu's removal and early elections due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. About 50 family members of two Bedouins still being held hostage were present at the protest.",0,crowd size=about 300,1763426427
ISR39231,2024-02-17,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Northern Negev Mountain,Mitzpe Ramon,30.6185,34.8063,1,Walla!News,National,"On 17 February 2024, a protest took place in Mitzpe Ramon (Beer Sheva, HaDarom), calling for Prime Minister Netanyahu's removal and early elections due to the government's handling of the Israel-Hamas War.",0,crowd size=no report,1708988314
ISR39272,2024-02-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Bedouin Ethnic Group (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Haaretz,National,"On 24 February 2024, about 400 protested in Beersheba (Beer Sheva, HaDarom), calling for new elections and Prime Minister Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. About 100 family members of Beduoins being held hostage in Gaza took part in the protest.",0,crowd size=about 400,1763426427
ISR39273,2024-02-27,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Settlers (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Srugim,National,"On 27 February 2024, dozens protested outside of a prison in Beersheba (Beer Sheva, HaDarom) against the Israeli minister of defence's decision to extend the administrative detention of prominent settler activist Ariel Danino by three months. Settlers took part in the protest.",0,crowd size=dozens,1763426427
ISR39324,2024-02-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Hostages and Missing Families Forum,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Ashqelon,Lakhish,Qiryat Gat,31.61,34.7642,1,Haaretz; Times of Israel,National,"On 28 February 2024, relatives of hostages and their supporters began a four-day protest march from Kibbutz Re'im to Jerusalem, ending the first day of their march in Qiryat Gat (Ashqelon, HaDarom). Protesters called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. The Hostages and Missing Families Forum organized the protest march.",0,crowd size=no report,1759789919
ISR39342,2024-03-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Government of Israel (2022-); Hostages and Missing Families Forum; National Unity Party,Protesters,,,,Protesters only,,376,Middle East,Israel,Jerusalem,Jerusalem,Judean Foothills,Tzora,31.7643,34.9672,1,Haaretz; N12; Ynet,National,"On 1 March 2024, about 1,000 relatives of hostages and their supporters continued a four-day protest march from Kibbutz Re'im to Jerusalem, ending the third day of their march in Tzora (Judean Foothills, Jerusalem). Protesters called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Two National Unity MKs and ministers, including Benny Gantz, gave speeches during the day's march. The Hostages and Missing Families Forum organized the protest march.",0,"crowd size=about 1,000",1762829418
ISR39353,2024-03-02,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,Political militia,,,,Political militia only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Hatzerim,31.2406,34.7139,2,Haaretz; N12; Times of Israel,National,"On 2 March 2024, Hamas militants in Gaza fired four rockets toward southern Israel, causing sirens to sound in Beeri and Hatzerim (Beer Sheva, HaDarom). The rockets fell in open areas near Beeri and Hatzerim. One event for each location (total 2 events) coded.",0,,1763426427
ISR39393,2024-03-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Bedouin Ethnic Group (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Haaretz; Ynet,National,"On 2 March 2024, a protest took place in Beersheba (Beer Sheva, HaDarom), calling for Netanyahu's dismissal and early elections due to the government's handling of Israel-Hamas War. A Bedouin community leader spoke at the protest.",0,crowd size=no report,1763426427
ISR39422,2024-03-08,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Building an Alternative; Women (Israel),Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Gerar,Bet Qama,31.4475,34.7623,1,Ynet,National,"On 8 March 2024, thousands of activists from the women's rights group Building an Alternative held protests around the country, including Bet Qama (Beer Sheva, HaDarom), to bring attention to and call for the release of the 19 women still being held as hostages by Hamas in Gaza. The protests were held as part of International Women's Day.",0,crowd size=dozens,1710202794
ISR39447,2024-03-09,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Arava,Eilat,29.5581,34.9482,1,Walla!News,National,"On 9 March 2024, an anti-government protest took place in Eilat (Beer Sheva, HaDarom), calling for early elections and Prime Minister Netanyahu's dismissal due to the government's handling of the Israel-Hamas War.",0,crowd size=no report,1710803234
ISR39460,2024-03-14,2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Israel),Arab Ethnic Group (Israel),Political militia,Military Forces of Israel (2022-),,State forces,State forces-Political militia,,376,Middle East,Israel,HaDarom,Beer Sheva,Gerar,Bet Qama,31.4475,34.7623,1,Haaretz; Israel Hayom; Jerusalem Post; Ma'ariv; N12; News 0404; Times of Israel; Walla!News; Ynet,National,"On 14 March 2024, an Israeli Arab attacker stabbed a senior non-commissioned IDF officer in Bet Qama (Beer Sheva, HaDarom). After he was stabbed, the injured officer shot and killed the assailant. Shortly after, the officer died from his wounds. Three other people, likely civilians, were lightly injured in the incident. The assailant was an Israeli citizen who grew up in Gaza.",2,,1710803234
ISR39501,2024-03-16,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Israel),Former Government of Israel (2022-); Former Military Forces of Israel (2022-); Likud Party,Protesters,,,,Protesters only,,376,Middle East,Israel,HaDarom,Beer Sheva,Beer Sheva,Beersheba,31.2518,34.7913,1,Beer Sheva Net; Haaretz; Israel Hayom,Subnational-National,"On 16 March 2024, a protest took place in Beersheba (Beer Sheva, HaDarom), calling for early elections and Prime Minister Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Former defense minister, Likud MK, and IDF chief of staff Moshe Yaalon spoke at the protest.",0,crowd size=no report,1763426427
ISR39634,2024-04-01,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Islamic Resistance in Iraq,,Rebel group,Military Forces of Israel (2022-),,State forces,State forces-Rebel group,,376,Middle East,Israel,HaDarom,Beer Sheva,Arava,Eilat,29.5581,34.9482,2,13 News; Arutz Sheva; Haaretz; Kan News; Ma'ariv; N12; Times of Israel; Ynet,National,"On 1 April 2024, an armed drone that entered Israeli territory from the direction of Jordan fell near Eilat (Beer Sheva, HaDarom). The drone hit a building at an IDF navy base near Eilat, causing damage. No casualties occurred. The Islamic Resistance in Iraq claimed responsibility for the attack, stating that they attacked a 'key target in Israeli territory.'",0,,1753970978
ISR39635,2024-04-04,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,Political militia,,,,Political militia only,,376,Middle East,Israel,HaDarom,Ashqelon,Ashqelon,Kefar Azza,31.4841,34.5331,2,Times of Israel,National,"On 4 April 2024, Hamas militants in Gaza fired three rockets toward Kefar Azza (Ashqelon, HaDarom). The rockets fell in open areas near Kefar Azza.",0,,1762291738
