event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
JOR2572,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Irbid,Qasabat Irbid,,Irbid,32.5556,35.85,1,Jo 24,National,"On 2 January 2024, protesters took to the streets outside Nouh mosque in Irbid (Qasabat Irbid) to demonstrate, in support of the Palestinian resistance, and people in Gaza and the West Bank, and to denounce Israeli aggression towards them. The protesters also condemned Israel's killing of Hamas' deputy chairman of the political bureau, in Beirut.",0,crowd size=no report,1704756263
JOR2575,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Al Aqabah,Qasabat al Aqaba,,Aqaba,29.5267,35.0078,1,Jo 24,National,"On 5 January 2024, protesters took to the streets of Aqaba city (Qasabat al Aqabah) to demonstrate. Nationwide demonstrations erupted in support of the Palestinian resistance, and the people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1704756263
JOR2577,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Irbid,Qasabat Irbid,,Irbid,32.5556,35.85,1,Al Ghad (Jordan),National,"On 5 January 2024, protesters took to the streets outside Al Hashimi Mosque in Irbid (Qasabat Irbid) to demonstrate. Nationwide demonstrations erupted in support of the Palestinian resistance, and the people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1704756263
JOR2578,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Jerash,Qasabat Jerash,,Jarash,32.2808,35.8993,1,Saraya,National,"On 5 January 2024, protesters took to the streets Jarash (Qasabat Jerash) to demonstrate. Nationwide demonstrations erupted in support of the Palestinian resistance, and the people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1704756263
JOR2579,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Maan,Qasabat Maan,,Maan,30.1962,35.7341,1,Jordan News Agency,National,"On 5 January 2024, protesters took to the streets outside the Sharif Husayn Bin Ali Mosque in Maan (Qasabat Maan) to demonstrate. Nationwide demonstrations erupted in support of the Palestinian resistance, and the people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1704756263
JOR2631,2024-01-10,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Az Zarqa,Az Zarqa,,Al Zarqa al Jadida,32.0915,36.1048,1,Jordan News Agency,National,"On 10 January 2024, protesters took to the streets of Al Zarqa Al Jadida (Az Zarqa) to demonstrate, in support of the Palestinian people in Gaza and the West bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1705371878
JOR2632,2024-01-10,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Irbid,Qasabat Irbid,,Irbid,32.5556,35.85,1,Jordan News Agency,National,"On 10 January 2024, protesters took to the streets of Irbid (Qasabat Irbid) to demonstrate, in support of the Palestinian people in Gaza and the West bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1705371878
JOR2634,2024-01-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Al Aqabah,Qasabat al Aqaba,,Aqaba,29.5267,35.0078,1,Jo 24,National,"On 12 January 2024, hundreds of protesters took to the streets of Aqaba (Qasabat al Aqabah) to demonstrate. Nationwide demonstrations erupted in support of the Palestinian people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=hundreds,1705371878
JOR2639,2024-01-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Irbid,Qasabat Irbid,,Irbid,32.5556,35.85,1,Jo 24,National,"On 12 January 2024, hundreds of protesters took to the streets outside Al Hashimi Mosque and marched towards the main square in Irbid (Qasabat Irbid) to demonstrate. Nationwide demonstrations erupted in support of the Palestinian people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=hundreds,1705371878
JOR2640,2024-01-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Jordan),,Protesters,,,,Protesters only,,400,Middle East,Jordan,Maan,Qasabat Maan,,Maan,30.1962,35.7341,1,Al Ghad (Jordan),National,"On 12 January 2024, protesters took to the streets outside the Grand Mosque in Maan (Qasabat Maan) to demonstrate. Nationwide demonstrations erupted in support of the Palestinian people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1705371878
