event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KWT124,2024-01-05,2024,1,Strategic developments,Strategic developments,Other,Government of Kuwait (2020-),,State forces,,,,State forces only,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,1,Asharq Al Awsat,Regional,"Other: On 5 January 2024, Kuwait's new emir initiated the formation of a new government by appointing Sheikh Muhammad Sabah Al-Salim Al-Sabah as Prime Minister and entrusting him the mission to form the new government (coded to capital Kuwait city) (Al Asimah).",0,,1750113814
KWT125,2024-02-15,2024,1,Strategic developments,Strategic developments,Other,Government of Kuwait (2020-),,State forces,,,,State forces only,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,1,Asharq Al Awsat; Gulf News (UAE); Kuwait Times; Reuters; The National (UAE),National-Regional,"Other: On 15 February 2024, Kuwait's Emir Sheikh Meshal al-Ahmad al-Sabah issued a decree to dissolve the National Assembly (coded to capital Kuwait city). The decree cited a violation of constitutional principles, including using 'offensive and inappropriate' language. The decree came one day after the cabinet boycotted a parliamentary session in objection to a speech delivered by an MP a week earlier, which cabinet ministers interpreted to be disrespectful to the Emir. The parliament had already been dissolved in April 2023 as part of a years-long political deadlock in the country.",0,,1750113814
KWT126,2024-02-21,2024,1,Strategic developments,Strategic developments,Other,Government of Kuwait (2020-),,State forces,,,,State forces only,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,3,Asharq Al Awsat; Kuwait Times,National-Regional,"Other: On 21 February 2024, the Kuwaiti government issued a decree to temporarily suspend the National Assembly's election law until 1 October 2024 (coded to capital Kuwait City). The government also reissued the old elections law to allow for holding snap elections within two months. The decree prohibits voters who have been convicted of felonies, crimes against honor or trust, or a crime of insulting the divine entity, the prophets, or the Emir from voting in the upcoming 2024 elections unless rehabilitated. Kuwait's Emir dissolved the parliament on 15 February 2024. Elections for the new parliament are expected to take place on 13 April 2024.",0,,1750113814
KWT127,2024-02-29,2024,1,Strategic developments,Strategic developments,Other,Government of Kuwait (2020-),,State forces,Hezbollah,Al Ashtar Brigades,Political militia,State forces-Political militia,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,3,Asharq Al Awsat,Regional,"Other: On 29 February 2024, Kuwait's Court of Cassation issued a ruling that formally outlawed Hezbollah and Al Ashtar Brigades (coded to capital Kuwait City). It criminalized joining or cooperating with the two groups, labeling them as 'forbidden and criminal' groups and accusing them of 'planning to destabilize Kuwait to establish an Iranian-style republic'. The ruling overturned the acquittal of 3 Kuwaitis and a Lebanese citizen, convicting them of espionage for Hezbollah and Bahrain's Al Ashtar Brigades. An appeals court had previously acquitted the defendants after being charged with funding Hezbollah-affiliated entities on the basis that Kuwait has not formally outlawed Hezbollah.",0,,1750113814
KWT128,2024-03-03,2024,1,Strategic developments,Strategic developments,Change to group/activity,Police Forces of Kuwait (2020-),,State forces,,,,State forces only,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,1,Arab Times; Asharq Al Awsat,National-Regional,"Security measures: On 3 March 2024, Bahraini police forces closed all roads to Erada Square in Kuwait City (Al Asimah) to prevent a scheduled protest in solidarity with the Palestinian people in the context of the latest round of violence in Israel-Palestine. Kuwait's interior ministry emphasized a ban on 'unauthorized assembly,' including marches and calls for gatherings on social media platforms.",0,,1750113814
KWT129,2024-04-04,2024,1,Strategic developments,Strategic developments,Other,Government of Kuwait (2020-),,State forces,,,,State forces only,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,3,Al Arabiya; Asharq Al Awsat; Gulf News (UAE),Regional,"Elections/referendum: On 4 April 2024, Kuwait held parliamentary elections in Kuwait (coded to capital Kuwait City). The elections had a turnout of around 62 percent and resulted in the opposition winning 29 of 50 seats. Kuwait's Emir Sheikh Meshal al-Ahmad al-Sabah dissolved the previous parliament in February 2024. Kuwait's emir appointed Ahmad Abdullah al-Ahmad al-Sabah as Prime Minister on 13 April and entrusting him with the mission to form a new government.",0,,1750113814
KWT130,2024-05-10,2024,1,Strategic developments,Strategic developments,Other,Government of Kuwait (2020-),,State forces,,,,State forces only,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,3,Al Alam News; Al Arabiya; Arab Times; Asharq Al Awsat; Bahrain News Agency; Emirates News Agency; GardaWorld; Gulf Daily News; Gulf News (UAE); Kuwait Times; The National (UAE),Other-National,"Other: On 10 May 2024, Kuwait's Emir Sheikh Meshal al-Ahmad al-Sabah issued a decree to dissolve the National Assembly (coded to capital Kuwait city) (Al Asimah). The decree cited a violation of constitutional principles. The Emir also suspended some of the constitutional articles for a period not exceeding four years during which all aspects of the democratic process will be studied.",0,,1750113814
KWT131,2024-04-29,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kuwait),Students (Kuwait); Teachers (Kuwait),Protesters,,,,Protesters only,,414,Middle East,Kuwait,Al Farwaniyah,,,Kuwait University (Ash Shadadiyah),29.2544,47.8996,1,Kuwait Times,National,"On 29 April 2024, Kuwait University students and professors held a protest at the College of Science in Kuwait University (Ash Shadadiyah) (Al Farwaniyah) in solidarity with Palestinian people and to denounce the Israeli 'crimes' in the context of the latest round of violence in Israel-Palestine.",0,crowd size=no report,1750113814
KWT132,2024-06-01,2024,1,Strategic developments,Strategic developments,Other,Government of Kuwait (2020-),,State forces,,,,State forces only,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,3,Arab Times; Kuwait Times,National,"Other: On 1 June 2024, Kuwait Emir Sheikh Meshal Al-Ahmad issued an order nominating former prime minister Sheikh Sabah Khaled Al-Hamad Al-Sabah as Crown Prince (coded to Kuwait City) (Al Asimah).",0,,1750113814
KWT133,2024-07-01,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Kuwait (2020-),,State forces,Civilians (International),,Civilians,State forces-Civilians,,414,Middle East,Kuwait,Al Asimah,,,Kuwait City,29.3697,47.9783,2,Gulf News (UAE),Regional,"Around 1 July 2024 (as reported), Kuwaiti security forces arrested 450 illegal foreign residents during an inspection in Kuwait City (Al Asimah) after a three-month amnesty deadline on illegal foreign residents expired.",0,,1750113814
