event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
LBN16843,2024-01-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),FENASOL: National Federation of Workers' and Employees' Trade Unions; Labor Group (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,North,Tripoli,,Tripoli,34.4367,35.8497,1,National News Agency Lebanon,National,"On 4 January 2024, protesters including FENASOL unionists and merchants held a sit-in at the Al Azmi junction in Tripoli (Tripoli), against the new rental law for non-residential buildings.",0,crowd size=no report,1754958620
LBN16844,2024-01-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Students (Lebanon); Teachers (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,North,Tripoli,,Tripoli,34.4367,35.8497,1,El Nashra,National,"On 4 January 2024, protesters including students, teachers and parents held a sit-in outside the Education Department in Tripoli (Tripoli), in protest against the closing of a 'Tawjeeh' school.",0,crowd size=no report,1754958620
LBN16845,2024-01-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Port,33.8982,35.5074,1,National News Agency Lebanon,National,"On 4 January 2024, relatives of the Beirut Port Blast victims, held their monthly sit-in outside the Immigrant statue in Beirut - Port (Beirut), to demand the resumption of the Beirut Port Blast Case, and to denounce political interventions.",0,crowd size=no report,1757377080
LBN17576,2024-01-08,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Labor Group (Lebanon); FENASOL: National Federation of Workers' and Employees' Trade Unions,Protesters,,,,Protesters only,,422,Middle East,Lebanon,North,Tripoli,,El Mina,34.4511,35.8142,1,El Nashra,National,"On 8 January 2024, protesters including unionists from the Union of External Transportation held a sit-in in outside the Tripoli port in El Mina (Tripoli), to protest against the fees and ban on unregistered motorcycles.",0,crowd size=no report,1705371878
LBN17601,2024-01-09,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Port,33.8982,35.5074,1,National News Agency Lebanon,National,"On 9 January 2024, the group of rented building owners held a sit-in at Riad Solh square in Beirut - Port (Beirut), in protest against the commercial rentals law and to demand its cancellation.",0,crowd size=no report,1757377080
LBN17750,2024-01-15,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Lawyers (Lebanon); Mouttahidoun,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Achrafieh,33.8853,35.5196,1,National News Agency Lebanon,National,"On 15 January 2024, activists and depositors from the 'Mouttahidoun' group held a sit-in outside Justice Palace in Beirut - Achrafieh (Beirut) to protest against the theft of subsidized products, and to demand the release of the trapped deposits in banks.",0,crowd size=no report,1757377080
LBN17762,2024-01-17,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Fatah Movement; Hezbollah; INM: Independent Nasserite Movement; PFLP-GC: Popular Front for the Liberation of Palestine - General Command; Protesters (Palestine); Refugees/IDPs (Palestine),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Port,33.8982,35.5074,1,National News Agency Lebanon,National,"On 17 January 2024, protesters including Palestinian refugees, and supporters and officials from Hezbollah, the PFLP-GC, Fatah, and the INM, held a protest outside ESCWA in Beirut - Port (Beirut) in support of the Palestinian resistance and people in Gaza and the West Bank, and to denounce Israeli aggression towards them.",0,crowd size=no report,1757377080
LBN17805,2024-01-16,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Teachers (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Mousseitbeh,33.8786,35.4907,1,National News Agency Lebanon,National,"On 16 January 2024, retired teachers held a protest outside the Ministry of Education in Beirut - Mousseitbeh (Beirut) to demand a solution to their pension and salary crisis.",0,crowd size=no report,1757377080
LBN17829,2024-01-19,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Lebanon),Depositors Outcry Association,Rioters,,,,Rioters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Ras Beirut,33.8919,35.4816,1,An-Nahar,National,"On 19 January 2024, demonstrators including activists from the Depositors Outcry Association used burning rubber tires to block the main road facing the Central Bank in Beirut - Ras Beirut (Beirut), before rioting and hurling fireworks towards a Bank Med branch in the same location. The depositors were rioting in demonstration against the policies of the caretaker government in regards to the trapped bank deposits.",0,crowd size=no report,1757377080
LBN17830,2024-01-19,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Mousseitbeh,33.8786,35.4907,1,An-Nahar,National,"On 19 January 2024, protesters held a sit-in protest outside the South African consulate in Beirut - Mousseitbeh (Beirut) to demand an end to the Israeli war on Gaza and in support of the Palestinian people.",0,crowd size=no report,1757377080
LBN17891,2024-01-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Government of Lebanon (2021-); Independent Politicians (Lebanon); Journalists (Lebanon); Lawyers (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Achrafieh,33.8853,35.5196,1,An-Nahar,National,"On 23 January 2024, independent parliamentary members, journalists, lawyers, and families of victims of the Beirut port explosion protested in front of the Justice Palce in Beirut - Achrafieh (Beirut, Beirut) after journalist Riad Tawk was called for testimony in a case against him.",0,crowd size=no report,1757377080
LBN17927,2024-01-25,2024,1,Political violence,Battles,Armed clash,Aalawiya Clan Militia (Lebanon),,Identity militia,Unidentified Clan Militia (Lebanon),,Identity militia,Identity militia-Identity militia,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut,33.8889,35.4944,1,El Nashra; Lebanon24; Murr TV; National News Agency Lebanon,National,"On 25 January 2024, an individual was killed during a clash between Aalawiya clan militia and an unidentified clan militia in the Hay Al Solom neighborhood in Beirut (Beirut, Beirut). Another individual was injured.",1,,1757377080
LBN18002,2024-01-20,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Health Workers (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Achrafieh,33.8853,35.5196,1,National News Agency Lebanon,National,"On 20 January 2024, protesters including pharmacists held a sit-in at the Order of Pharmacists in Beirut - Achrafieh (Beirut), in support of patients with sclerosis to obtain their needed medications.",0,crowd size=no report,1757377080
LBN18095,2024-01-29,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Palestine),Fatah Movement; Refugees/IDPs (Palestine),Protesters,,,,Protesters only,,422,Middle East,Lebanon,North,Tripoli,,Tripoli,34.4367,35.8497,1,An-Nahar; El Nashra; Murr TV,National,"On 29 January 2024, Palestinian refugees and members of the PLO took to the streets in Tripoli (North, Tripoli) to protest against Western countries that cut funding to the United Nations Relief and Works Agency (UNRWA).",0,crowd size=no report,1754958620
LBN18123,2024-01-30,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Palestine),Hamas Movement; Refugees/IDPs (Palestine),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut,33.8889,35.4944,1,An-Nahar; El Nashra; Naharnet,National,"On 30 January 2024, the Hamas movement along with Palestinian refugees in Lebanon protested in front of the United Nations Relief and Works Agency (UNRWA) field office in Beirut against the cut in funding for Palestinian refugees.",0,crowd size=dozens,1757377080
LBN18177,2024-02-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Saifi,33.8927,35.509,1,Akhbar al Saha,New media,"On 1 February 2024, a group of protesters took to the streets in Mar Mkhayel in Beirut - Saifi (Beirut, Beirut) to protest against the German government's support for Israel.",0,crowd size=no report,1757377080
LBN18277,2024-02-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Labor Group (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Mousseitbeh,33.8786,35.4907,1,Murr TV,National,"On 7 February 2024, retired engineers protested at the Order of Engineers and Architects office in Beirut - Mousseitbeh (Beirut, Beirut) against low retirement wages and living conditions.",0,crowd size=no report,1757377080
LBN18330,2024-02-06,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Lebanon),Former Military Forces of Lebanon (2021-),Rioters,,,,Rioters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Port,33.8982,35.5074,1,El Nashra; Lebanon24; Naharnet,National,"On 6 February 2024, retirees from the Lebanese Army blocked the road in Bchara el Khoury in Beirut - Port (Beirut, Beirut) with burning tires to demonstrate against low retirement wages.",0,crowd size=no report,1757377080
LBN18365,2024-02-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Saifi,33.8927,35.509,1,Akhbar al Saha; An-Nahar; Lebanon24; Murr TV,New media-National,"On 4 February 2024, family members of the victims of the Beirut explosion protested against Judge Ghassan Ouidat in Beirut - Saifi (Beirut, Beirut). This comes as no government officials have been arrested and tried for the explosion.",0,crowd size=no report,1757377080
LBN18378,2024-02-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Ras Beirut,33.8919,35.4816,1,Akhbar al Saha; An-Nahar; Murr TV,New media-National,"On 7 February 2024, a group of protesters took to the streets in El Hamra in Beirut - Ras Beirut (Beirut, Beirut) to protest against the cut in funding by Western countries to UNRWA, which provides aid to Palestinian refugees.",0,crowd size=no report,1757377080
LBN18405,2024-02-08,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Lebanon),Former Military Forces of Lebanon (2021-),Rioters,Military Forces of Lebanon (2021-),Police Forces of Lebanon (2021-),State forces,State forces-Rioters,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Zokak El Blat,33.8934,35.4997,1,An-Nahar; El Nashra; L'Orient Le Jour; Murr TV; Naharnet,National,"On 8 February 2024, around 300 army retirees blocked the road leading to the Grand Serail in Beirut - Zokak el Blat (Beirut, Beirut) in demonstration against low retirement wages and living conditions. After demonstrators attempted to forcibly enter the Serail, security forces, both army and police, intervened and clashed with them, firing tear gas cannisters in the crowd. 2 demonstrators were injured, and several suffered from tear gas inhalation.",0,crowd size=around 300,1757377080
LBN18578,2024-02-13,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),FENASOL: National Federation of Workers' and Employees' Trade Unions; Labor Group (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,North,Tripoli,,El Mina,34.4511,35.8142,1,El Nashra; Lebanon24,National,"On 13 February 2024, Tripoli municipal workers and FENASOL members protested in front of the municipal palace in El Mina (Tripoli, North) in support of fair wages for all municipal workers across Lebanon.",0,crowd size=no report,1708383898
LBN18728,2024-02-20,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Teachers (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Bachoura,33.8924,35.5046,1,El Nashra,National,"On 20 February 2024, retired teachers organized a protest in front of the parliament building in Beirut - Bachoura (Beirut, Beirut) to demand that the government funds the compensation fund for members of the teaching staff in private schools.",0,crowd size=no report,1757377080
LBN18731,2024-02-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Former Military Forces of Lebanon (2021-),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Zokak El Blat,33.8934,35.4997,1,El Nashra; Lebanon24,National,"On 23 February 2024, military forces retirees blocked the entrance of the Grand Serail, also known as Government Palace, by standing in front of it, in Beirut - Zokak El Blat (Beirut, Beirut) in demonstration against low wages and poor living conditions.",0,crowd size=no report,1757377080
LBN18831,2024-02-19,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Lebanon),,Rioters,Police Forces of Lebanon (2021-),,State forces,State forces-Rioters,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Mousseitbeh,33.8786,35.4907,1,Akhbar al Saha; Naharnet,New media-National,"On 19 February 2024, activists blocked the road leading to the Egyptian Embassy in Beirut - Mousseitbeh (Beirut, Beirut) in demonstration against the closure of the Rafah crossing between Egypt and the Gaza Strip. Demonstrators accused Egyptian President Abdel Fattah Al Sisi of being an accomplice in the blockade and displacement of the people of Gaza. Demonstrators attempted to remove blocks preventing access to the embassy and clashed with police forces that tried to prevent them from doing so.",0,crowd size=no report,1757377080
LBN18880,2024-02-22,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Former Military Forces of Lebanon (2021-),Protesters,,,,Protesters only,,422,Middle East,Lebanon,North,Tripoli,,Tripoli,34.4367,35.8497,1,El Nashra; Lebanon24; Murr TV,National,"On 22 February 2024, former military officers blocked the road in front of Banque Du Liban and Sarail Tripoli, by standing on it, in Tripoli (Tripoli, North) in protest against low wages and poor living conditions.",0,crowd size=no report,1754958620
LBN18954,2024-02-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Journalists (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Mousseitbeh,33.8786,35.4907,1,El Nashra,National,"On 26 February 2024, a number of journalists and activists from the Press and Editors Syndicates participated in a solidarity stand in Beirut - Mousseitbeh (Beirut, Beirut) in support of Palestinian Journalists that were killed during the Israeli bombardment of Gaza. The syndicates also called for the boycott of Israeli journalists.",0,crowd size=no report,1757377080
LBN19030,2024-02-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Former Military Forces of Lebanon (2021-),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Bachoura,33.8924,35.5046,1,An-Nahar; El Nashra; Murr TV,National,"On 28 February 2024, armed forces retirees gathered near Riad al Solh Square in Beirut - Bachoura (Beirut, Beirut) to protest against low wages and poor living conditions.",0,crowd size=no report,1757377080
LBN19056,2024-02-29,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Palestine),Protesters (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Zokak El Blat,33.8934,35.4997,1,An-Nahar,National,"On 29 February 2024, a group of individuals staged a protest in front of the ESCWA building in Beirut - Zokak El Blat (Beirut, Beirut) in support of Gaza and the Palestinian people.",0,crowd size=no report,1757377080
LBN19165,2024-03-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Teachers (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Mousseitbeh,33.8786,35.4907,1,Lebanon24; Murr TV,National,"On 5 March 2024, contracted teachers at the Lebanese university staged a protest in front of the Ministry of Education in Beirut - Mousseitbeh (Beirut, Beirut) to demand better working conditions.",0,crowd size=no report,1757377080
LBN19261,2024-03-08,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Lebanon),,Rioters,,,,Rioters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Ras Beirut,33.8919,35.4816,1,Akhbar al Saha; Murr TV,New media-National,"On 8 March 2024, a group of depositors held a demonstration in front of Banque du Liban in Beirut - Ras Beirut (Beirut, Beirut) to demand their frozen deposits. Some members fired fire crackers towards the building.",0,crowd size=no report,1757377080
LBN19371,2024-03-12,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Lebanon),Government of Lebanon (2021-); Independent Politicians (Lebanon); Lawyers (Lebanon),Protesters,Police Forces of Lebanon (2021-),,State forces,State forces-Protesters,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Achrafieh,33.8853,35.5196,1,Akhbar al Saha; An-Nahar; El Nashra; Murr TV,New media-National,"On 12 March 2024, a protest took place in front of the Palais De Justice in Beirut - Achrafieh (Beirut, Beirut) after two lawyers were summoned by the Prosecutor General. Police forces assaulted and prevented Member of Parliament and independent politician Melhem Khalaf from entering the palace.",0,crowd size=no report,1757377080
LBN19454,2024-03-15,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Teachers (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,Beirut,Beirut,,Beirut - Achrafieh,33.8853,35.5196,1,Lebanon24; Murr TV,National,"On 15 March 2024, teachers from the Markaziya school carried out a protest in front of the Justice Palace in Beirut - Achrafieh (Beirut, Beirut). This comes following the controversial paper that was distributed at the school explaining the concept of gender to children.",0,crowd size=no report,1757377080
LBN19455,2024-03-09,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),CGTL: General Confederation of Lebanese Workers; Labor Group (Lebanon),Protesters,,,,Protesters only,,422,Middle East,Lebanon,North,Tripoli,,Tripoli,34.4367,35.8497,1,El Nashra,National,"On 9 March 2024, public bus drivers carried out a protest in front of Interior Minister Bassam Al Mawlawi's residence in Tripoli (Tripoli, North) against low wages and poor living conditions. The protest was called by the CGTL.",0,crowd size=no report,1754958620
LBN19128,2024-03-04,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,422,Middle East,Lebanon,South,Tyr,,Umm Touteh,33.1085,35.2553,2,National News Agency Lebanon,National,"On 4 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Umm Touteh town (Tyr, South) amid ongoing hostilities with Hezbollah. Casualties unknown.",0,,1776123266
LBN18932,2024-02-25,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,422,Middle East,Lebanon,South,Tyr,,Umm Touteh,33.1085,35.2553,2,El Nashra; Lebanon24,National,"On 25 February 2024, Israeli warplanes carried out airstrikes between Chihhine and Umm Touteh (Tyr, South) amid ongoing hostilities with Hezbollah. Casualties unknown.",0,,1776123266
LBN18693,2024-02-16,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,422,Middle East,Lebanon,South,Tyr,,Umm Touteh,33.1085,35.2553,1,Liveuamap,Local partner-New media,"On 16 February 2024, the Israeli military fired artillery shells on Umm Touteh town (Tyr, South) due to continuous escalation with Hezbollah. Casualties unknown.",0,,1776123266
LBN18159,2024-02-01,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,422,Middle East,Lebanon,South,Tyr,,Umm Touteh,33.1085,35.2553,2,Liveuamap; National News Agency Lebanon,Local partner-New media,"On 1 February 2024, the Israeli military fired artillery shells in the vicinity of Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",0,,1753954585
LBN18080,2024-01-29,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,422,Middle East,Lebanon,South,Tyr,,Umm Touteh,33.1085,35.2553,2,An-Nahar; National News Agency Lebanon,National,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",0,,1753954585
