event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
LBY11402,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),Protesters,,,,Protesters only,,434,Northern Africa,Libya,South,Wadi al Hayat,,El Sharara,26.4316,11.8495,1,Al Wasat (Libya); Libya Observer,National,"On 2 January 2024, protesters closed down the oil field (means not specified) in El Sharara (Wadi al Hayat, South), calling for the government to improve public service delivery, employ graduates from the region, build a private hospital in the Fezzan, and restructure the Fezzan Reconstruction Fund.",0,crowd size=no report,1704766910
LBY11403,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),Protesters,,,,Protesters only,,434,Northern Africa,Libya,South,Wadi al Hayat,,El Sharara,26.4316,11.8495,1,Al Wasat (Libya); Libya Observer,National,"On 3 January 2024, for the second consecutive day, protesters closed down the oil field (means not specified) in El Sharara (Wadi al Hayat, South), calling for the government to improve public service delivery, employ graduates from the region, build a private hospital in the Fezzan, and restructure the Fezzan Reconstruction Fund.",0,crowd size=no report,1704766910
LBY11404,2024-01-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),Protesters,,,,Protesters only,,434,Northern Africa,Libya,South,Wadi al Hayat,,El Sharara,26.4316,11.8495,1,Al Wasat (Libya); Libya Observer,National,"On 4 January 2024, for the third consecutive day, protesters closed down the oil field (means not specified) in El Sharara (Wadi al Hayat, South), calling for the government to improve public service delivery, employ graduates from the region, build a private hospital in the Fezzan, and restructure the Fezzan Reconstruction Fund.",0,crowd size=no report,1704766910
LBY11405,2024-01-02,2024,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Libya),,Political militia,Civilians (Libya),,Civilians,Political militia-Civilians,Civilian targeting,434,Northern Africa,Libya,East,Benghazi,,Benghazi,32.1177,20.1293,1,Akhbar Libya,National,"On 2 January 2024, a civilian was hit by a stray bullet fired by an unidentified armed group in Benghazi (Benghazi, East), leaving him injured.",0,,1754410220
LBY11406,2024-01-05,2024,1,Strategic developments,Strategic developments,Other,Military Forces of Libya (2021-) Government of National Unity (GNU) - Border Guards,,State forces,,,,State forces only,,434,Northern Africa,Libya,West,Nalut,,Ghadamis,30.1337,9.5007,3,Akhbar Libya,National,"Other: On 5 January 2024, border guards from Ghadamis began conducting patrols across western and southwestern border areas. Location coded as Ghadamis (Nalut, Libya).",0,,1759181266
LBY11407,2024-01-11,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,Al Jabal Al Gharbi,,Zintan,31.9223,12.252,1,Al Wasat (Libya),National,"On 11 January 2024, protesters gathered in Zintan (Al Jabal Al Gharbi, West) after the Government of National Unity announced they would lift fuel subsidies, with protesters claiming the GNU was covering up for its failure in combating fuel smuggling, corruption, and looting.",0,crowd size=no report,1705371871
LBY11408,2024-01-09,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,An Nuqat al Khams,,Mellitah,32.8535,12.2386,1,Al Wasat (Libya),National,"On 9 January 2024, for the second consecutive day, protesters gathered in front of the Mellitah Oil and Gas Complex in Mellitah (An Nuqat al Khams, West). Protesters gave the Government of National Unity 3 days to 'end corruption' before they would shut down the oil complex, and called for steps such as dismissing the head of the National Oil Corporation and cancellation of the agreement to develop the Hamada oil field with foreign companies.",0,crowd size=no report,1705371871
LBY11409,2024-01-10,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,An Nuqat al Khams,,Mellitah,32.8535,12.2386,1,Al Wasat (Libya),National,"On 10 January 2024, for the third consecutive day, protesters gathered in front of the Mellitah Oil and Gas Complex in Mellitah (An Nuqat al Khams, West). Protesters gave the Government of National Unity 3 days to 'end corruption' before they would shut down the oil complex, and called for steps such as dismissing the head of the National Oil Corporation and cancellation of the agreement to develop the Hamada oil field with foreign companies.",0,crowd size=no report,1705371871
LBY11410,2024-01-08,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,An Nuqat al Khams,,Mellitah,32.8535,12.2386,1,Al Wasat (Libya),National,"On 8 January 2024, protesters gathered in front of the Mellitah Oil and Gas Complex in Mellitah (An Nuqat al Khams, West). Protesters gave the Government of National Unity 3 days to 'end corruption' before they would shut down the oil complex, and called for steps such as dismissing the head of the National Oil Corporation and cancellation of the agreement to develop the Hamada oil field with foreign companies.",0,crowd size=no report,1705371871
LBY11411,2024-01-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,South,Wadi al Hayat,,El Sharara,26.4316,11.8495,1,Al Wasat (Libya),National,"On 7 January 2024, for the 6th consecutive day as protesters continued to shut down the oil field in El Sharara (Wadi al Hayat, South). Protesters called for improvement of public service delivery. Libya declared a force majeure",0,crowd size=no report,1705371871
LBY11412,2024-01-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,East,Al Wahat,,Ajdabiya,30.7555,20.2263,2,Al Wasat (Libya),National,"On 6 January 2024, wise men and residents of Gallo, Awjila, Ajkhara, and Tazerbu gathered on the Gllo-Ajdabiya road near Ajdabiya (Al Wahat, East), denouncing the Government of National Unity for delays in developing and maintaining the road.",0,crowd size=no report,1705371871
LBY11413,2024-01-07,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Libya),,Political militia,Civilians (Libya),,Civilians,Political militia-Civilians,Civilian targeting,434,Northern Africa,Libya,West,Tripoli,,Tripoli - Ayn Zarah,32.8133,13.2697,1,Libya Observer,National,"On 7 January 2024, a landmine planted by an unidentified armed group at an unknown time exploded in Tripoli - Ayn Zarah (Tripoli, West), injuring a civilian.",0,,1754410220
LBY11414,2024-01-15,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,An Nuqat al Khams,,Zaltan,32.947,11.8665,1,Libya Observer,National,"On 15 January 2024, protesters held a sit-in Zaltan (An Nuqat al Khams, West) after an armed convoy entered the area.",0,crowd size=no report,1705978259
LBY11415,2024-01-16,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,An Nuqat al Khams,,Zaltan,32.947,11.8665,1,Libya Observer,National,"On 16 January 2024, for the second consecutive day, protesters held a sit-in in Zaltan (An Nuqat al Khams, West) after an armed convoy entered the area.",0,crowd size=no report,1705978259
LBY11416,2024-01-17,2024,2,Demonstrations,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,Nalut,,Wazin,31.9405,10.6618,1,Al Wasat (Libya),National,"Around 17 January 2024 (week of), Libyan truck drivers began a sit-in at the Dahiba-Wazin border crossing between Libya and Tunisia in Wazin (Nalut, West) after the Government of National Unity decided to cancel fuel subsidies.",0,crowd size=no report,1706579767
