event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE43034,2024-01-02,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Health Workers (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Palestine News and Information Agency,National,"On 2 January 2024, Israeli forces opened fire at a Palestinian near Nablus road in Qalqilyah city (Qalqilya, West Bank). Israeli forces also physically assaulted the Palestinian after he was shot. Israeli forces opened fire at a Palestinian ambulance that arrived to treat the injured civilian.",0,,1753954979
PSE44756,2024-01-07,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,,,,Rioters only,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Khirbat an Nahlah,31.678,35.1829,1,Palestine News and Information Agency,National,"On 7 January 2024, Israeli settler rioters uprooted 250 olive tree seedlings on a Palestinian-owned land in Khirbat an Nahlah (Bethlehem, West Bank).",0,crowd size=no report,1705371879
PSE45462,2024-01-15,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Hamas Movement,Civilians,External/Other forces-Civilians,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Jerusalem Post; Ma'an News Agency; PLO Negotiations Affairs Department,Other-National,"Property destruction: On 15 January 2024, Israeli forces demolished 2 Palestinian-owned house in Al Marj area in Qalqilyah (Qalqilya, West Bank) under the pretext of building in an Area C land, and building without a permit. Both homes belonged to Hamas affiliates.",0,,1753954979
PSE45554,2024-01-17,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Civilians (Israel),Settlers (Israel),Civilians,Rioters-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Quds News Network,National,"On 17 January 2024, Palestinian rioters beat up an Israeli settler that entered Qalqilyah (Qalqilya, West Bank). The settler was injured.",0,crowd size=no report,1705978273
PSE45570,2024-01-19,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,2,PLO Negotiations Affairs Department,Other,"On 19 January 2024, Palestinian rioters clashed with Israeli forces near the Jaljula checkpoint in the Qalqilyah area (Qalqilya, West Bank). Israeli forces fired live and rubber-coated bullets, tear gas cannisters, and stun grenades to disperse the rioters, injuring a child.",0,crowd size=no report,1753954979
PSE44722,2024-01-10,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Labor Group (Palestine),Civilians,External/Other forces-Civilians,,275,Middle East,Occupied Palestine,West Bank,Salfit,,Kifil Haris,32.1183,35.1572,1,Ma'an News Agency; Palestine News and Information Agency,National,"Property destruction: On 10 January 2024, Israeli forces demolished a Palestinian-owned car wash and a nursery business in Kifil Haris (Salfit, West Bank).",0,,1753954979
PSE45622,2024-01-26,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,PLO Negotiations Affairs Department,Other,"On 26 January 2024, Palestinian rioters clashed with Israeli forces that raided Qalqilyah (Qalqilya, West Bank). Israeli forces fired live and rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters, injuring a rioter.",0,crowd size=no report,1753955113
PSE45844,2024-01-21,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Jenin,,Zububah,32.5435,35.2227,1,Palestine News and Information Agency,National,"On 21 January 2024, Palestinian rioters clashed with Israeli forces that raided a house in Zububah (Jenin, West Bank). There were no casualties.",0,crowd size=no report,1753955113
PSE45860,2024-01-21,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,PLO Negotiations Affairs Department,Other,"On 21 January 2024, Palestinian rioters clashed with Israeli forces that raided Qalqilyah (Qalqilya, West Bank). Israeli forces fired rubber-coated bullets, tear gas cannisters. and stun grenades to disperse the rioters. There were no casualties.",0,crowd size=no report,1753955113
PSE46031,2024-01-28,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,Civilians (Palestine),,Civilians,Rioters-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Khirbat an Nahlah,31.678,35.1829,1,PLO Negotiations Affairs Department,Other,"On 28 January 2024, Israeli settler rioters beat up a Palestinian in Khirbat an Nahlah (Bethlehem, West Bank) and stole money from him. The Palestinian was hospitalized.",0,crowd size=no report,1707185524
PSE46904,2024-02-15,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Settlers (Israel),,Political militia,Civilians (Palestine),,Civilians,Political militia-Civilians,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Khirbat an Nahlah,31.678,35.1829,1,Palestine News and Information Agency,National,"Land seizure: On 15 February 2024, Israeli settlers placed 4 mobile homes on Palestinian-owned lands in Khirbat an Nahlah (Bethlehem, West Bank) to expand the borders of the Givat Einam settlement.",0,,1753971887
PSE46919,2024-02-16,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,PLO Negotiations Affairs Department,Other,"On 16 February 2024, Israeli forces opened fire at Palestinian vehicles (presumably while they were being driven) during a raid on Qalqilyah (Qalqilya, West Bank). There were no casualties.",0,,1753955113
PSE47276,2024-02-22,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Settlers (Israel),,Political militia,Civilians (Palestine),,Civilians,Political militia-Civilians,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Khirbat an Nahlah,31.678,35.1829,1,Palestine News and Information Agency,National,"Land seizure: On 22 February 2024, Israeli settlers placed 3 mobile homes on a Palestinian-owned land in Khirbat an Nahlah (Bethlehem, West Bank) to expand the borders of the Givat Eitam settlement.",0,,1753971887
PSE45619,2024-01-26,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Ramallah and Al Bireh,,Al Mazraah al Qibliyah,31.9523,35.1507,1,PLO Negotiations Affairs Department,Other,"On 26 January 2024, Palestinian rioters clashed with Israeli forces that raided Al Mazraah al Qibliyah (Ramallah and Al Bireh, West Bank). Israeli forces fired rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,crowd size=no report,1753955113
PSE47725,2024-02-28,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Ramallah and Al Bireh,,Al Mazraah al Qibliyah,31.9523,35.1507,1,Quds News Network,National,"On 28 February 2024, Palestinian rioters clashed with Israeli forces in Al Mazraah al Qibliyah (Ramallah and Al Bireh, West Bank). There were no casualties.",0,crowd size=no report,1753955113
PSE48001,2024-02-26,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,,,,Rioters only,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Khirbat an Nahlah,31.678,35.1829,1,Palestine News and Information Agency,National,"On 26 February 2024, Israeli settler rioters destroyed supporting walls and around 20 grape vine trees on a Palestinian-owned land in Khirbat an Nahlah (Bethlehem, West Bank).",0,crowd size=no report,1709590396
PSE48032,2024-02-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,2,PLO Negotiations Affairs Department,Other,"On 24 February 2024, Israeli forces opened fire at a Palestinian in the Tzofim checkpoint area near Qalqilyah (Qalqilya, West Bank). The Palestinian was injured and hospitalized.",0,,1753955113
PSE48034,2024-02-27,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Palestine),,Protesters,,,,Protesters only,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Palestine News and Information Agency; Quds News Network,National,"On 27 February 2024, a protest was held at the Abu Iyad square in Qalqilyah city (Qalqilya, West Bank) in support of Palestinian prisoners in Israeli jails. Protesters raised signs in support of the Palestinian prisoners, as well as demanding to end the war on Gaza.",0,crowd size=no report,1709590396
PSE48330,2024-03-02,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Quds News Network,National,"On 2 March 2024, Israeli forces ran over a Palestinian with their vehicle in Qalqilyah (Qalqilya, West Bank), before arresting him.",0,,1753955113
PSE48758,2024-03-10,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,Civilians (Palestine),,Civilians,Rioters-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Khirbat an Nahlah,31.678,35.1829,1,PLO Negotiations Affairs Department,Other,"On 10 March 2024, Israeli settler rioters beat up and used pepper spray on a Palestinian in Khirbat an Nahlah (Bethlehem, West Bank). The settlers also seized his phone and a cash amount of around 2735 US dollars.",0,crowd size=no report,1710803287
PSE49230,2024-03-16,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Quds News Network,National,"On 16 March 2024, Palestinian rioters clashed with Israeli forces in Qalqilyah (Qalqilya, West Bank). There were no casualties.",0,crowd size=no report,1753955113
PSE44638,2024-01-07,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,2,Palestine News and Information Agency,National,"On 7 January 2024, Israeli forces beat up a Palestinian near the Dayr Sharaf roundabout (Nablus, West Bank). The Palestinian was hospitalized.",0,,1753954979
PSE45334,2024-01-15,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,Civilians (Palestine),,Civilians,Rioters-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,Palestine News and Information Agency,National,"On 15 January 2024, dozens of Israeli settler rioters hurled stones at Palestinian vehicles at At Tanib intersection west of Dayr Sharaf (Nablus, West Bank), presumably as they were passing by, causing material damages to vehicles.",0,crowd size=dozens,1754411177
PSE45517,2024-01-15,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,,,,Rioters only,,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,Palestine News and Information Agency,National,"On 15 January 2024, Israeli settler rioters set fire to 2 excavators, a truck, a forklift, and damaged trees inside a Palestinian-owned plant nursery in Dayr Sharaf (Nablus, West Bank).",0,crowd size=no report,1753970465
PSE46359,2024-02-01,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,,,,Rioters only,,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,2,Al-Ittihad; Palestine News and Information Agency,National-Regional,"On 1 February 2024, Israeli settler rioters uprooted 450 olive and almond tree seedlings on Palestinian-owned lands west of Dayr Sharaf (Nablus, West Bank)",0,crowd size=no report,1753970465
PSE47444,2024-02-20,2024,1,Strategic developments,Strategic developments,Other,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,Quds News Network,National,"Other: On 20 February 2024, Israeli forces fired tear gas canisters at the Dayr Sharaf gate (Nablus, West Bank), after closing it, likely targeting Palestinians.",0,,1753955113
PSE48238,2024-03-03,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,PLO Negotiations Affairs Department,Other,"On 3 March 2024, Israeli forces opened fire at Palestinian vehicles at the Dayr Sharaf checkpoint (Nablus, West Bank) as they were waiting their turn to cross. There were no casualties.",0,,1753955113
PSE49578,2024-03-29,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,External/Other forces,Civilians (Israel),Farmers (Palestine),Civilians,External/Other forces-Civilians,,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,2,Palestine News and Information Agency,National,"Property destruction: On 29 March 2024, Israeli military forces razed Palestinian-owned lands near the checkpoint of Dayr Sharaf village (Nablus, West Bank).",0,,1753955113
PSE49616,2024-03-28,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Hebron,,Telem,31.563,35.0313,2,Palestine News and Information Agency,National,"On 28 March 2024, Israeli military forces physically assaulted a Palestinian and opened fire toward his car near Telem settlement (Hebron, West Bank) before he was arrested.",0,,1753955113
PSE49690,2024-03-25,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Nablus,,Bayt Wazan,32.2311,35.2158,1,PLO Negotiations Affairs Department,Other,"On 25 March 2024, Palestinian rioters clashed with Israeli forces that raided Bayt Wazan (Nablus, West Bank). Israeli forces fired live and rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,crowd size=no report,1753955113
PSE49833,2024-03-30,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,2,PLO Negotiations Affairs Department,Other,"On 30 March 2024, Israeli forces opened fire at a Palestinian near the separating wall near Qalqilyah (Qalqilya, West Bank) under the pretext of attempting to cross the border into Israeli territories. The Palestinian was injured and hospitalized.",0,,1753955113
PSE49978,2024-04-02,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,Palestine News and Information Agency,National,"Property destruction: On 2 April 2024, Israeli forces razed several sub-routes and destroyed water pipelines in Dayr Sharaf (Nablus, West Bank).",0,,1753955113
PSE50065,2024-03-31,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,PLO Negotiations Affairs Department,Other,"On 31 March 2024, Palestinian rioters clashed with Israeli forces that raided Qalqilyah (Qalqilya, West Bank). Israeli forces fired rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,crowd size=no report,1753955113
PSE50067,2024-04-04,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Farmers (Palestine),Civilians,External/Other forces-Civilians,,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Palestine News and Information Agency,National,"Property destruction: On 4 April 2024, Israeli forces razed a Palestinian-owned agricultural land in Al Birayn area in Qalqilyah (Qalqilya, West Bank) for being close to the northern checkpoint of the city.",0,,1753955113
PSE50109,2024-03-31,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,,,,Rioters only,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Khirbat an Nahlah,31.678,35.1829,1,Palestine News and Information Agency; PLO Negotiations Affairs Department,Other-National,"On 31 March 2024, Israeli settler rioters destroyed 3 solar power panels, 3 water containers, 2 power generators, a greenhouse, and other supplies used for agricultural purposes on a Palestinian-owned land in Khirbat an Nahlah (Bethlehem, West Bank).",0,crowd size=no report,1757975700
PSE50754,2024-04-17,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,PLO Negotiations Affairs Department,Other,"On 17 April 2024, Israeli forces beat up a Palestinian at the Dayr Sharaf checkpoint (Nablus, West Bank). The Palestinian was injured and hospitalized.",0,,1753955113
PSE50781,2024-04-15,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Palestine News and Information Agency,National,"On 15 April 2024, Israeli forces opened live fire at a Palestinian that was present near the separating wall in Qalqilyah city (Qalqilya, West Bank), injuring him in the thigh. The Palestinian was hospitalized.",0,,1753955113
PSE50782,2024-04-16,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Students (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Quds News Network,National,"On 16 April 2024, Israeli forces opened fire at Palestinian civilians and students during a raid on Qalqilyah (Qalqilya, West Bank). There were no casualties.",0,,1753955113
PSE50784,2024-04-13,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Military Forces of Israel (2022-); Settlers (Israel),Rioters,Rioters (Palestine),,Rioters,Rioters-Rioters,,275,Middle East,Occupied Palestine,West Bank,Ramallah and Al Bireh,,Al Mazraah al Qibliyah,31.9523,35.1507,1,Palestine News and Information Agency,National,"On 13 April 2024, Israeli settler rioters, under the protection of Israeli forces, clashed with Palestinian rioters in the Harasha area in Al Mazraah al Qibliyah (Ramallah and Al Bireh, West Bank). There were no casualties.",0,crowd size=no report,1713830570
PSE43055,2024-01-04,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Nahhalin,31.6856,35.1208,1,Palestine News and Information Agency,National,"Property destruction: On 4 January 2024, Israeli forces set fire to a vehicle, broke solar energy panels, and destroyed surveillance cameras belonging to a Palestinian civilian during a raid on Nahhalin (Bethlehem, West Bank).",0,,1753954979
PSE43096,2024-01-03,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,,,,Rioters only,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Nahhalin,31.6856,35.1208,1,Palestine News and Information Agency,National,"On 3 January 2024, Israeli settler rioters uprooted around 100 olive trees and grape vines on Palestinian-owned lands in Nahhalin (Bethlehem, West Bank).",0,crowd size=no report,1714445587
PSE43102,2024-01-04,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Nahhalin,31.6856,35.1208,2,PLO Negotiations Affairs Department,Other,"On 4 January 2024, Israeli forces opened fire at a Palestinian vehicle near Nahhalin (Bethlehem, West Bank) while chasing it, before arresting the driver. There were no casualties.",0,,1753954979
PSE45505,2024-01-15,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Nahhalin,31.6856,35.1208,1,Palestine News and Information Agency,National,"On 15 January 2024, Palestinian rioters clashed with Israeli forces that raided Nahhalin (Bethlehem, West Bank). Israeli forces fired tear gas cannisters to disperse the rioters. Several suffered from tear gas inhalation.",0,crowd size=no report,1753954979
PSE45827,2024-01-21,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Nahhalin,31.6856,35.1208,1,Palestine News and Information Agency,National,"On 21 January 2024, Palestinian rioters clashed with Israeli forces that raided Nahhalin (Bethlehem, West Bank). Israeli forces fired live bullets and stun grenades to disperse the rioters. There were no casualties.",0,crowd size=no report,1753955113
PSE46040,2024-01-28,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Nahhalin,31.6856,35.1208,1,Liveuamap; Palestine Information Center,Local partner-New media,"On 28 January 2024, Palestinian rioters clashed with Israeli forces in Nahhalin (Bethlehem, West Bank). There were no casualties.",0,crowd size=no report,1753955113
PSE46939,2024-02-16,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,Civilians (Palestine),Farmers (Palestine),Civilians,Rioters-Civilians,Civilian targeting,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Al Jabah,31.6742,35.0772,1,PLO Negotiations Affairs Department,Other,"On 16 February 2024, Israeli settler rioters attacked Palestinian shepherds in Al Jabah (Bethlehem, West Bank). There were no casualties.",0,crowd size=no report,1714445587
PSE48695,2024-03-15,2024,1,Political violence,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Rioters,,,,Rioters only,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Al Jabah,31.6742,35.0772,1,PLO Negotiations Affairs Department,Other,"On 15 March 2024, Israeli settler rioters destroyed a water pipeline and crops belonging to Palestinians in Al Jabah (Bethlehem, West Bank).",0,crowd size=no report,1714445587
PSE50717,2024-04-18,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Bethlehem,,Nahhalin,31.6856,35.1208,1,Quds News Network,National,"On 18 April 2024, Palestinian rioters clashed with Israeli forces that raided Nahhalin (Bethlehem, West Bank). There were no casualties.",0,crowd size=no report,1753955113
PSE50977,2024-04-22,2024,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Occupied Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,PLO Negotiations Affairs Department,Other,"On 22 April 2024, Palestinian rioters clashed with Israeli forces that raided Dayr Sharaf (Nablus, West Bank). Israeli forces fired live and rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,crowd size=no report,1753955113
