event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SAU83001,2024-01-30,2024,1,Political violence,Violence against civilians,Attack,Operation Restoring Hope,Rapid Support Forces,External/Other forces,Civilians (Sudan),Operation Restoring Hope; Rapid Support Forces,Civilians,External/Other forces-Civilians,Civilian targeting,682,Middle East,Saudi Arabia,Jizan,Ahad Al Masarihah,,Al Hasamah,16.8344,42.9714,1,Darfur 24,International,"On 30 January 2024, a member of the Sudanese Rapid Support forces fighting under the Saudi-led coalition (coded under ORH) shot soldiers of the same unit in Al Hasamah camp (Ahad Al Masarihah, Jizan) while they were asleep killing 5 and injuring 5 more. 4 soldiers died immediately and 1 passed away in the hospital. The reason for the shooting was not reported.",5,,1754411177
SAU83002,2024-02-27,2024,1,Strategic developments,Strategic developments,Other,Government of Saudi Arabia (2015-),,State forces,Civilians (Saudi Arabia),,Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Ar Riyadh,Riyadh,,Riyadh,24.6877,46.7219,3,Asharq Al Awsat; Press TV,National-Regional,"Other: On 27 February 2024, Saudi authorities executed seven individuals on various charges, including 'treason,' 'endangering security through terrorism,' financing terrorist organizations,' and 'espionage aimed at destabilizing society and undermining national unity' (coded to capital Riyadh). This was the highest number of single-day executions since the execution of 81 people in March 2022. Saudi authorities have executed a total of 31 people since the beginning of 2024.",7,,1709590398
SAU83005,2024-07-07,2024,2,Strategic developments,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,State forces,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Najran,Najran,,Najran,17.4933,44.1277,3,Mareb Press,Regional,"Around 7 July 2024 (between 4 - 10 July), Saudi forces arrested more than 1,700 people trying to enter the kingdom including around 990 Ethiopians and 729 Yemenis on the Yemeni-Saudi border (coded to Najran).",0,,1721691354
SAU83006,2024-08-18,2024,2,Strategic developments,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,State forces,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Najran,Najran,,Najran,17.4933,44.1277,3,Al Mashhad Al Yemeni - Pro-IRG,Regional,"Around 18 August 2024 (as reported), Saudi forces arrested 913 people trying to enter the kingdom, including around 590 Ethiopians and 290 Yemenis on the Yemeni-Saudi border (coded to Najran border governorate).",0,,1724714232
SAU83009,2024-12-15,2024,2,Political violence,Violence against civilians,Abduction/forced disappearance,Police Forces of Saudi Arabia (2015-),,State forces,Civilians (Saudi Arabia),Women (Saudi Arabia),Civilians,State forces-Civilians,Civilian targeting,682,Middle East,Saudi Arabia,Ar Riyadh,Riyadh,,Riyadh,24.6877,46.7219,3,Amnesty International,Other,"Around 15 December 2024 (as reported), Saudi Police forces forcibly disappeared 1 female civilian in an unspecified location in Saudi Arabia (coded to Riyadh City) (Ar Riyadh). According to Amnesty International she was disappeared for promoting women's rights. She had previously been forcibly disappeared from October 2023 to April 2024, and held incommunicado in August 2023 (coded as separate events).",0,women targeted: activists/human rights defenders/social leaders,1754411177
SAU83010,2025-02-15,2025,2,Strategic developments,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,State forces,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Najran,Najran,,Najran,17.4933,44.1277,3,Al Mashhad Al Yemeni - Pro-IRG,Regional,"Around 15 February 2025 (as reported), Saudi forces arrested 2133 people trying to enter the kingdom, including around 1343 Ethiopians and 767 Yemenis on the Yemeni-Saudi border (coded to Najran border governorate).",0,,1740447634
SAU83011,2025-03-01,2025,2,Strategic developments,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,State forces,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Najran,Najran,,Najran,17.4933,44.1277,3,Al Mashhad Al Yemeni - Pro-IRG,Regional,"Around 1 March 2025 (as reported), Saudi forces arrested 1483 people trying to enter the kingdom, 41% Yemenis and around 56% Ethiopians, on the Yemeni-Saudi border (coded to Najran border governorate).",0,,1741741878
SAU83012,2025-03-08,2025,2,Strategic developments,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,State forces,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Najran,Najran,,Najran,17.4933,44.1277,3,Al Mashhad Al Yemeni - Pro-IRG,Regional,"Around 8 March 2025 (as reported), Saudi forces arrested 1051 people trying to enter the kingdom, 43% Yemenis and around 54% Ethiopians, on the Yemeni-Saudi border (coded to Najran border governorate).",0,,1742254422
SAU83015,2025-03-23,2025,2,Strategic developments,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,State forces,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Najran,Najran,,Najran,17.4933,44.1277,3,Al Mashhad Al Yemeni - Pro-IRG,Regional,"Around 23 March 2025 (as reported), Saudi forces arrested 1553 people trying to enter the kingdom, 28% Yemenis and around 69% Ethiopians, on the Yemeni-Saudi border (coded to Najran border governorate).",0,,1743467604
SAU83016,2025-03-29,2025,2,Strategic developments,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,State forces,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Civilians,State forces-Civilians,,682,Middle East,Saudi Arabia,Najran,Najran,,Najran,17.4933,44.1277,3,Al Mashhad Al Yemeni - Pro-IRG,Regional,"Around 29 March 2025 (as reported), Saudi forces arrested 1533 people trying to enter the kingdom, 30% Yemenis and around 65% Ethiopians, on the Yemeni-Saudi border (coded to Najran border governorate).",0,,1744085449
