event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SYR129537,2024-06-28,2024,1,Political violence,Battles,Armed clash,Ekeidat Tribal Militia (Syria),,Identity militia,Ekeidat Tribal Militia (Syria),,Identity militia,Identity militia-Identity militia,,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Basira,Takihi,35.1751,40.4547,1,SOHR,Other,"On 28 June 2024, clashes took place among cousins from Ekeidat tribe in Takihi town in Deir ez Zor countryside over an old dispute, injuring two people. There were no fatalities.",0,,1762291933
SYR129566,2024-06-28,2024,1,Political violence,Battles,Armed clash,LAS: Northern Storm Brigade,,Rebel group,National Police Forces,,Rebel group,Rebel group-Rebel group,,760,Middle East,Syria,Aleppo,Azaz,Azaz,Azaz,36.5849,37.0432,1,SOHR,Other,"On 28 June 2024, clashes took place between Northern Storm Brigade and National Police Forces in Azaz town in Aleppo countryside, over an unknown dispute, injuring five members including a civilian. There were no fatalities.",0,,1759187405
SYR129627,2024-06-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Syria),Refugees/IDPs (Syria),Protesters,,,,Protesters only,,760,Middle East,Syria,Idleb,Harim,Qourqeena,Barisha,36.1652,36.6375,1,SOHR,Other,"On 28 June 2024, IDPs staged a protest in Barisha camps in Idleb countryside, against HTS and its leader and demanding the release of the detainees.",0,crowd size=no report,1759187405
SYR129704,2024-06-28,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,External/Other forces,YPG: Peoples Protection Units,,Rebel group,Rebel group-External/Other forces,,760,Middle East,Syria,Aleppo,Azaz,Tall Refaat,Tall Refaat,36.4726,37.0941,1,Facebook; Liveuamap; SHAAM; Twitter,Local partner-New media,"On 28 June 2024, Turkish forces shelled YPG positions in Tall Refaat town in Aleppo countryside with artillery. Casualties unknown.",0,,1759187405
SYR129721,2024-06-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Syria),,Protesters,,,,Protesters only,,760,Middle East,Syria,Aleppo,Jebel Saman,Atareb,Abyan Saman,36.0881,36.7606,1,Syria TV,National,"On 28 June 2024, locals staged a protest in Abyan Saman town in Aleppo countryside, against HTS and its leader and demanding the release of the detainees.",0,crowd size=no report,1759187405
SYR129722,2024-06-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Syria),,Protesters,,,,Protesters only,,760,Middle East,Syria,Aleppo,Jebel Saman,Daret Azza,Daret Azza,36.285,36.8511,1,Syria TV,National,"On 28 June 2024, locals staged a protest in Daret Azza town in Aleppo countryside, against HTS and its leader and demanding the release of the detainees.",0,crowd size=no report,1759187405
SYR129727,2024-06-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Syria),,Protesters,,,,Protesters only,,760,Middle East,Syria,Idleb,Harim,Dana,Atmah,36.3095,36.6884,1,Facebook,New media,"On 28 June 2024, locals staged a protest in Atmah town in Idleb countryside, against HTS and its leader and demanding the release of the detainees.",0,crowd size=no report,1759187405
SYR129751,2024-06-28,2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Syria),,Political militia,QSD: Syrian Democratic Forces,,Rebel group,Rebel group-Political militia,,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Kisreh,Mhemideh,35.4429,40.0862,2,SHAAM,National,"On 28 June 2024, unknown gunmen attacked a QSD military point on Mhemideh-Al-Hessan road in Deir ez Zor countryside. Casualties unknown.",0,,1759187405
SYR129765,2024-06-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Syria),,Protesters,,,,Protesters only,,760,Middle East,Syria,Idleb,Harim,Qourqeena,Qourqeena,36.1385,36.6127,1,SOHR,Other,"On 28 June 2024, locals staged a protest in Qourqeena town in Idleb countryside, against HTS and its leader and demanding the release of the detainees.",0,crowd size=no report,1759187405
SYR129768,2024-06-28,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Syria),,Protesters,,,,Protesters only,,760,Middle East,Syria,Idleb,Idleb,Maaret Tamsrin,Kelly,36.1081,36.6946,1,SOHR,Other,"On 28 June 2024, locals staged a protest in Kelly town in Idleb countryside, against HTS and its leader and demanding the release of the detainees.",0,crowd size=no report,1759187405
