event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
TUR33292,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),TUGVA: Turkish Youth Foundation; AKP: Justice and Development Party; TURGEV: Turkish Youth and Education Service Foundation,Protesters,,,,Protesters only,,792,Middle East,Turkey,Istanbul,Beyoglu,,Beyoglu,41.0369,28.9775,2,A Haber; Anadolu Agency; Evrensel; Ihlas News Agency; Takvim,National,"On 1 January 2024, thousands of protesters, under TUGVA leadership, gathered at the Sultanahmet square (Fatih, Istanbul) and marched towards the Galata tower in Beyoglu, Istanbul, to protest against Israel's ongoing attacks in Gaza, in support of Palestinian people. Representatives of AKP (including MPs), TURGEV attended the protest.",0,crowd size=thousands of,1704766936
TUR33294,2024-01-01,2024,2,Strategic developments,Strategic developments,Arrests,Military Forces of Turkey (2016-) Gendarmerie,,State forces,Civilians (International),Refugees/IDPs (International),Civilians,State forces-Civilians,,792,Middle East,Turkey,Aydin,Didim,,Didim,37.385,27.2564,2,Ihlas News Agency,National,"Around 1 January 2024 (as reported), Turkish gendarmerie captured and detained 39 migrants that entered Turkey illegally during an operation carried out in Didim district, Aydin.",0,,1704766936
TUR33295,2024-01-01,2024,2,Strategic developments,Strategic developments,Arrests,Military Forces of Turkey (2016-),,State forces,Civilians (International),Refugees/IDPs (International),Civilians,State forces-Civilians,,792,Middle East,Turkey,Mugla,Bodrum,,Coast of Bodrum,37.0139,27.4136,2,Ihlas News Agency,National,"Around 1 January 2024 (as reported), 28 migrants attempting to cross the border illegally to Greece via boats were captured off the coast of Bodrum, Mugla and detained by the Coast Guard Command of the Turkish army.",0,,1704766936
TUR33296,2024-01-01,2024,2,Strategic developments,Strategic developments,Arrests,Military Forces of Turkey (2016-),,State forces,Civilians (International),Refugees/IDPs (International),Civilians,State forces-Civilians,,792,Middle East,Turkey,Izmir,Foca,,Coast of Foca,38.6695,26.7245,2,Ihlas News Agency; TRT Haber,National,"Around 1 January 2024 (as reported), 43 migrants attempting to cross the border illegally to Greece via boats were stopped off the coast of Foca, Izmir and detained by the Coast Guard Command of Turkish Army.",0,,1704766936
TUR33297,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Muslim Group (Turkey),Protesters,,,,Protesters only,,792,Middle East,Turkey,Denizli,Pamukkale,,Pamukkale,37.9164,29.1173,1,Ihlas News Agency,National,"On 1 January 2024, protesters staged a demonstration in front of Deliklicinar Yeni Mosque in Pamukkale, Denizli, to protest to protest against Israel's ongoing attacks in Gaza, in support of Palestinian people. Verses from the Quran were recited.",0,crowd size=no report,1704766936
TUR33298,2024-01-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),,Protesters,,,,Protesters only,,792,Middle East,Turkey,Istanbul,Beyoglu,,Beyoglu,41.0369,28.9775,1,Cumhuriyet,National,"On 1 January 2024, local residents, who are rightful beneficiaries within the scope of the '100 Thousand Low-Income Group Social Housing Project' launched by the Housing Development Administration of Turkey (TOKI) in 2019, held a demonstration in front of the AKP Istanbul Provincial Presidency (Beyoglu, Istanbul), to express their grievances, citing that they have been suffering for four years without receiving their homes due to increases in down payments and installment amounts.",0,crowd size=no report,1704766936
TUR33299,2024-01-02,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Turkey (2016-),,State forces,Civilians (International),Refugees/IDPs (International),Civilians,State forces-Civilians,,792,Middle East,Turkey,Edirne,Edirne,,Edirne,41.6757,26.5587,1,Cumhuriyet,National,"Around 2 January 2024 (as reported), Turkish police forces captured and detained 27 migrants (Afghanistan, Iraq, Syria and Pakistan nationals) that entered Turkey illegally during an operation carried out in Edirne town.",0,,1754344967
TUR33302,2024-01-02,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Turkey (2016-),Police Forces of Turkey (2016-) National Intelligence Organization,State forces,Civilians (International),Military Forces of Israel (2022-) Mossad,Civilians,State forces-Civilians,,792,Middle East,Turkey,Istanbul,Fatih,,Istanbul,41.011,28.9578,3,Anadolu Agency; Haberler; Ihlas News Agency; Rudaw,National-Regional,"Around 2 January 2024 (as reported), Turkish police forces, in coordination with National Intelligence Agency, arrested 34 individuals, predominantly of foreign nationality, in an operation targeting the Israeli Intelligence Service in 8 province centered around Istanbul as part of ongoing efforts against individuals linked to the Israeli Intelligence Service (coded to Istanbul province).",0,,1704766936
TUR33304,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),DEM: Peoples' Equality and Democracy Party; Government of Turkey (2016-),Protesters,,,,Protesters only,,792,Middle East,Turkey,Agri,Agri,,Agri,39.7147,43.0402,1,Mezopotamya Agency,National,"On 2 January 2024, DEM members and executives (including an MP) staged a demonstration in front of the university Agri Ibrahim Cecen University, in Agri town, to protest against an Assistant Professor, who, on the 12th anniversary of the bombing in the village of Roboski in Sirnak's Qileban (Uludere) district, had made racist posts on social media, using discriminatory language against Kurds.",0,crowd size=no report,1704766936
TUR33305,2024-01-03,2024,2,Strategic developments,Strategic developments,Arrests,Military Forces of Turkey (2016-) Gendarmerie,,State forces,Civilians (International),Refugees/IDPs (International),Civilians,State forces-Civilians,,792,Middle East,Turkey,Mugla,Bodrum,,Bodrum,37.0383,27.4292,2,Cumhuriyet,National,"Around 3 January 2024 (as reported), Turkish gendarmerie forces detained and captured 50 migrants who entered Turkey illegally, in Bodrum, Ula and Datca districts of Mugla province (coded to Bodrum district).",0,,1704766936
TUR33306,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Labor Group (Turkey),Protesters,,,,Protesters only,,792,Middle East,Turkey,Bilecik,Bilecik,,Bilecik,40.1419,29.9793,1,Ihlas News Agency,National,"On 3 January 2024, union affiliated workers staged a demonstration in Bilecik town to protest against the assault on a teacher and cafeteria worker that occurred on 29 December 2023.",0,crowd size=no report,1704766936
TUR33307,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),DISK: Confederation of Progressive Trade Unions of Turkey; Labor Group (Turkey),Protesters,,,,Protesters only,,792,Middle East,Turkey,Istanbul,Kadikoy,,Kadikoy,40.9813,29.0521,1,ANF News,International,"On 3 January 2024, protesters staged a demonstration in Kadikoy, Istanbul, to protest the government's economy policies that result in widening the gap between rich and poor. Representatives of DISK attended the protest.",0,crowd size=no report,1704766936
TUR33308,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),TIP: Workers' Party of Turkey,Protesters,,,,Protesters only,,792,Middle East,Turkey,Adana,Seyhan,,Seyhan,36.9875,35.3059,1,Mezopotamya Agency,National,"On 3 January 2024, TIP members and executives continued to protest at the Ataturk Park in Seyhan, Adana, to protest Court of Cassation for not recognizing the Constitutional Court's (AYM) second decision regarding the violation of rights in the case of imprisoned Hatay deputy Can Atalay.",0,crowd size=no report,1704766936
TUR33310,2024-01-04,2024,2,Strategic developments,Strategic developments,Arrests,Military Forces of Turkey (2016-),,State forces,Civilians (International),Refugees/IDPs (International),Civilians,State forces-Civilians,,792,Middle East,Turkey,Izmir,Seferihisar,,Coast of Seferihisar,38.1354,26.4863,2,Cumhuriyet,National,"Around 4 January 2024 (as reported), the Turkish Coast Guard intercepted and detained 48 migrants attempting to cross the border illegally to Italy on a boat, off the coast of Seferihisar and Urla districts of Izmir province (coded to Seferihisar).",0,,1704766936
TUR33311,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Muslim Group (Turkey),Protesters,,,,Protesters only,,792,Middle East,Turkey,Van,Ipekyolu,,Ipekyolu,38.5535,43.6212,1,Anadolu Agency,National,"On 3 January 2024, protesters staged a demonstration at the Hz. Omer mosque in Ipekyolu, Van to condemn the assassination of senior Hamas member Salih al-Arouri and to protest against Israel's ongoing attacks in Gaza.",0,crowd size=no report,1704766936
TUR33313,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),AGD: Anatolian Youth Organization,Protesters,,,,Protesters only,,792,Middle East,Turkey,Batman,Batman,,Batman,37.8874,41.1322,1,Anadolu Agency,National,"On 3 January 2024, protesters staged a demonstration in front of Ulu mosque in Batman town to condemn the assassination of senior Hamas member Saleh al-Arouri and to protest against Israel's ongoing attacks in Gaza. Representatives of AGD attended the protest.",0,crowd size=no report,1704766936
TUR33314,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Muslim Group (Turkey); AGD: Anatolian Youth Organization,Protesters,,,,Protesters only,,792,Middle East,Turkey,Edirne,Edirne,,Edirne,41.6757,26.5587,1,Anadolu Agency,National,"On 3 January 2024, protesters staged a demonstration in front of Eski mosque in Edirne town to condemn the assassination of senior Hamas member Saleh al-Arouri and to protest against Israel's ongoing attacks in Gaza. Funeral prayers were held in absentia. Representatives of AGD attended the protest.",0,crowd size=no report,1704766936
