event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
YEM84343,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Southern Movement,Protesters,,,,Protesters only,,887,Middle East,Yemen,Shabwah,Habban,,Habban,14.3541,47.0765,2,Twitter,New media,"On 5 January 2024, the Southern Movement council held a protest in Habban district (Shabwah) in solidarity with the Palestinian people and denouncing the [Israeli] 'aggression'.",0,crowd size=no report,1759790080
YEM84391,2024-01-01,2024,1,Strategic developments,Strategic developments,Agreement,Military Forces of Yemen (2017-) Houthi,,State forces,Military Forces of Yemen (2022-2026) Presidential Leadership Council,,State forces,State forces-State forces,,887,Middle East,Yemen,Sadah,Kitaf wa Al Boqee,,Wadi al Abu Jubarah,17.1672,44.2516,2,Mareb Press,National,"On 1 January 2024, Houthi forces released after tribal mediations 4 former IRG soldiers that were captured in Wadi al Abu Jubarah (Kitaf wa Al Boqee, Sadah) in 2019.",0,,1770676350
YEM84410,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Al Jawf,Bart Al Anan,,Al Marashi,16.8678,44.3125,1,Ansar Allah; Yemen Data Project,Local partner-National,"On 5 January 2024, protesters held a large Houthi-sponsored demonstration in Al Marashi (Bart Al Anan, Al Jawf) in solidarity with the Palestinian people and Houthi operations against Israel and to denounce 'the crimes of the Zionist entity' in the context of the latest round of violence in Israel-Palestine.",0,crowd size=large,1704775457
YEM84418,2024-01-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Labor Group (Yemen),Protesters,,,,Protesters only,,887,Middle East,Yemen,Shabwah,Arma,,Al Uqlah Oil Fields,15.3803,46.8357,1,Twitter,New media,"On 3 January 2024, OMV employees protested in Al Uqlah Oil Fields (Arma, Shabwah) against being fired by the company.",0,crowd size=no report,1704775457
YEM84423,2024-01-04,2024,1,Political violence,Battles,Armed clash,Military Forces of Yemen (2017-) Houthi,,State forces,West Coast Joint Forces,,Political militia,State forces-Political militia,,887,Middle East,Yemen,Al Hudaydah,Hays,,Hays,13.9317,43.4831,2,2 December News; Yemen Data Project,Local partner-National,"On 4 January 2024, WCJF clashed with Houthi forces and 'thwarted their infiltration attempt' in hills east of Hays district (Al Hudaydah). Casualties unknown. The clash lasted for 40 minutes and the WCJF inflicted 'direct casualties' -- unclear if fatalities or injuries.",0,,1754354963
YEM84427,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Marib,Al Jubah,,Judaydah,15.0751,45.2996,2,Ansar Allah; Yemen Data Project,Local partner-National,"On 5 January 2024, residents of Marib's southern districts held a large Houthi-sponsored protest in Al Jubah district (coded to Judaydah) (Marib) in solidarity with the Palestinian people and Houthi operations against Israel and to denounce 'the crimes of the Zionist entity' in the context of the latest round of violence in Israel-Palestine.",0,crowd size=large,1704775457
YEM84438,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Marib,Majzar,,Majzar,15.85,44.775,2,Ansar Allah; Yemen Data Project,Local partner-National,"On 5 January 2024, protesters held Houthi-sponsored demonstrations in the districts of Mahliyah (coded to Al Amud), Bidbadah, Harib Al Qaramish (coded to Al Harjah), Rahabah (coded to Rahabah al Kawlah), and Majzar (Marib) in solidarity with the Palestinian people and Houthi operations against Israel and to denounce 'the crimes of the Zionist entity' in the context of the latest round of violence in Israel-Palestine.",0,crowd size=no report,1704775457
YEM84439,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Marib,Rahabah,,Rahabah al Kawlah,14.8957,44.9892,2,Ansar Allah; Yemen Data Project,Local partner-National,"On 5 January 2024, protesters held Houthi-sponsored demonstrations in the districts of Mahliyah (coded to Al Amud), Bidbadah, Harib Al Qaramish (coded to Al Harjah), Rahabah (coded to Rahabah al Kawlah), and Majzar (Marib) in solidarity with the Palestinian people and Houthi operations against Israel and to denounce 'the crimes of the Zionist entity' in the context of the latest round of violence in Israel-Palestine.",0,crowd size=no report,1704775457
YEM84440,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Marib,Sirwah,,Suq Sirwah,15.4493,45.0189,2,Ansar Allah; Yemen Data Project,Local partner-National,"On 5 January 2024, protesters held a large Houthi-sponsored protest in Sirwah district (coded to Suq Sirwah) (Marib) in solidarity with the Palestinian people and Houthi operations against Israel and to denounce 'the crimes of the Zionist entity' in the context of the latest round of violence in Israel-Palestine.",0,crowd size=large,1704775457
YEM84461,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Police Forces of Yemen (2017-) Houthi; Unidentified Tribal Group (Yemen),Protesters,,,,Protesters only,,887,Middle East,Yemen,Al Hudaydah,Al Mansuriyah,,Al Mansuriyah,14.6856,43.2992,2,Ansar Allah,National,"On 2 January 2024, tribesmen from Al Jubail square held a Houthi-sponsored tribal protest in Al Mansuriyah district (Al Hudaydah) in solidarity with Palestinian people and Houthi operations in the Red Sea and Bab al Mandab Strait and to denounce the 'crimes of the Israeli occupation' in the context of the latest round of violence in Israel-Palestine. They also denounced the US targeting of Houthi forces in the Red Sea. Houthi-affiliated political and security took part in the demonstration.",0,crowd size=no report,1760471163
YEM84466,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),,Protesters,,,,Protesters only,,887,Middle East,Yemen,Marib,Marib City,,Marib,15.461,45.3253,1,Mareb Press,Subnational,"On 5 January 2024, protesters held a large demonstration in Marib city (Marib) in solidarity with the Palestinian people and denouncing 'the crimes of the Israeli occupation' in the context of the latest round of violence in Israel-Palestine.",0,crowd size=large,1763426500
YEM84471,2024-01-01,2024,1,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Yemen (2022-2026) Presidential Leadership Council,,State forces,Military Forces of Yemen (2017-) Houthi,,State forces,State forces-State forces,,887,Middle East,Yemen,Al Mahrah,Shahan,,Shihan Border Crossing,17.8019,52.552,1,2 December News; Aden al Ghad; Sada al Sahil; Yemen Data Project,Local partner-National,"Weapons seizure: On 1 January 2024, custom forces (coded as IRG police forces) seized 9 drone jamming devices in Shihan Border Crossing (Shahan, Al Mahrah) on their way to Houthi forces.",0,,1770676350
YEM84486,2024-01-02,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Unidentified Tribal Group (Yemen),Protesters,,,,Protesters only,,887,Middle East,Yemen,Dhamar,Maghirib Ans,,Uzlat Najah,14.4673,44.1755,2,Ansar Allah,National,"On 2 January 2024, tribesmen held a Houthi-sponsored tribal protest in Uzlat Najah region (Maghirib Ans, Dhamar) in solidarity with Palestinian people and Houthi operations in the Red Sea and Bab al Mandab Strait and to denounce the 'crimes of the Israeli occupation' in the context of the latest round of violence in Israel-Palestine. They also denounced the US targeting of Houthi forces in the Red Sea.",0,crowd size=no report,1705380000
YEM84502,2024-01-06,2024,1,Strategic developments,Strategic developments,Other,Pirates (Somalia),,Political militia,Civilians (Yemen),Fishers (Yemen),Civilians,Political militia-Civilians,,887,Middle East,Yemen,Al Hudaydah,Al Khawkhah,,Al Khawkhah,13.8071,43.2493,2,Al Masdar; Yemen Data Project,Local partner-National,"Other: On 6 January 2024, Somali pirates released 9 Yemeni fishermen from Al Khawkhah district that were abducted in late December off Ras Hafun Coast in Somalia (coded to Al Khawkhah) (Al Hudaydah).",0,,1705380000
YEM84508,2024-01-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Dhamar,Wusab As Safil,,Uzlat Jarban,14.3086,43.5205,2,Ansar Allah,National,"On 6 January 2024, protesters held a Houthi-sponsored protest in Uzlat Jarban region (Wusab As Safil, Dhamar) in solidarity with Palestinian people and Houthi operations in the Red Sea and Bab al Mandab Strait and to denounce the 'crimes of the Israeli occupation' in the context of the latest round of violence in Israel-Palestine. They also denounced the US attack targeting Houthi forces in the Red Sea.",0,crowd size=no report,1705380000
YEM84509,2024-01-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Unidentified Tribal Group (Yemen),Protesters,,,,Protesters only,,887,Middle East,Yemen,Hadramawt,Wadi Al Ayn,,Al Khashaah,15.7589,48.1221,1,Aden al Ghad,National,"On 6 January 2024, tribesmen held a protest and set up a protest camp near oil fields in Al Khashaah (Wadi Al Ayn, Hadramawt) calling for the fulfilment of their demands including the delivery of more services in the governorate.",0,crowd size=no report,1705380000
YEM84512,2024-01-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),,Protesters,,,,Protesters only,,887,Middle East,Yemen,Lahij,Tuban,,Al Anad,13.2106,44.785,2,Aden al Ghad,National,"On 6 January 2024, residents held a protest in Malibah in Tuban district (coded to Al Anad) (Lahij) to denounce the decision to designate of a new director the health unit from outside the area.",0,crowd size=no report,1762820001
YEM84515,2024-01-06,2024,1,Political violence,Violence against civilians,Attack,Unidentified Tribal Militia (Yemen),,Identity militia,Civilians (Yemen),Unidentified Tribal Group (Yemen),Civilians,Identity militia-Civilians,Civilian targeting,887,Middle East,Yemen,Shabwah,Ataq,,Ataq,14.5313,46.8391,1,Hayrout; Yemen Data Project,Local partner-National,"On 6 January 2024, tribesmen opened fire at civilians in Ataq city (Shabwah) over tribal revenge killing 1 civilian and injuring 1 other.",1,,1769474359
